year,month,day,author,month_string,text_en,text_pl,text_it,text_es,text_fr,text_zh,text_de,text_pt
2010,1,6,Jesus Christ,January,"My dearly beloved people, come to me, children, come to me! With the love of a father, I maintain you in the palm of my hands, I protect you from evil, you are my treasure. Only it is the responsibility of each one of you, to allow me to grow in the human being. Beloved, today I invite you to come to me with the gold of human love, to give it to me so that I may be everything in you. I invite you to come to me with the incense of your actions, so they are not actions so full of human egoism, nor tinged with the mundane. I invite you to come to me with the myrrh of obedience, so you hear me and return with promptitude, since I maintain the doors of my merciful heart open. My Mercy is infinite and it will never close to whoever returns repentant. This is the principal cause of my calls. My love surpasses human understanding, and nevertheless, you deny yourselves the living in harmony with my House. Throughout human history, man has rebelled and continues to rebel, causing himself suffering and attracting to himself the evils that afflict you; as you lived it in the past, as you live it today, as you will live it, since you refuse conversion. Man, a divine creation, rebels and blames his creator for the evils man faces. I am not a punishing father, I am a father of love, of mercy, of forgiveness. I am a father who announces to those he loves, what is going to happen, so that his beloved makes a stop on the path, reflect and change the path; but humanity is not grateful for my calls and ignores them, accusing my instruments of causing fear. Little children, why are you determined to remain blind and not see the truth of my love, which alerts you so that you prepare, reflect and repent? Because, eternal life exists! Sorrow exists for those who deny themselves the right to participate in the Celestial Banquet! Do not neglect my calls; it is urgent that you change the direction of your course and return to me, so the evil one does not continue to contaminate you with every kind of sin and you are not easy. Pray for him. You are my people and I claim you for myself; move away from all that is sin, it is time for change, do you not see that satan maintains you in his clutches? Little children, each day is a magnet that attracts in advance over humanity what my Mother and I have announced to you for long years. Now you live in that announced time, product of the disobedience and debauchery in which you live. Man does not take notice of our requests and he gives himself over little by little to the enemy of my people, who will cause you to suffer, will persecute my Church and will make you experience terror. Time and time again I have invited you to consecrate yourselves to my Mother’s Immaculate Heart, to gestate in her womb so that her love surpasses temptation. My Mother guides whoever asks her to, by her hand; she is queen, advocate of men, consolation of those who suffer; she is my Mother and Mother of all men! Little children, I convoke you urgently, so that like those kings full of faith allowed themselves to be guided by the light and find me and be filled with divine love; just as they changed the direction of their course so as not to fall into the hands of Herod, so today change course and do not allow yourselves to fall more into the hands of the enemy of the soul. You quickly approach towards the moment in which you will see yourselves, you will see yourselves internally and will live the same hardness with which you have despised my calls. It will be an act of mercy from my House, for humanity in general. Beloved, prepare yourselves spiritually, be humble, charitable, compassionate with your brothers and sisters; be my very love. Little children, I love you. Your Jesus. Hail Mary most pure, conceived without sin. Hail Mary most pure, conceived without sin. Hail Mary most pure, conceived without sin. ",,,,,,,
2010,1,11,Jesus Christ,January,"Dearly beloved children, I love you; I love you and bless you. Today I come to invite you, to call you to my love. Love is not exclusive to a few; love is a duty of all of the children of my heart. Trust more in me; do not worry so much, so much about the future, to the degree that it hinders your progress. Do not worry so much, so much about what happened. The past is in my hands and the future is of my property. Give over every worry, all that perturbs you, all those desires, yearnings and worries, insecurities and illnesses to my heart and to my Mother; hand them over to me; rid yourselves of the worries, and you will see that I will do everything else in addition, according to my will. You walk en-route towards the final fulfilment of the prophecies, and with this fulfilment you should begin now a chain of constant prayer for the world. Pray, pray so that nature does not look upon my children indifferently. Pray to placate the forces of nature that wish to come out in order to manifest their power, to ask men once again to wake up and return their gaze towards me. I do not punish, I am love and Infinite Mercy; but man’s sin is so great, that now not only does creation rebel, but it vomits man. How much pain this causes our Trinity! How much pain this causes my Mother who received you at the foot of the Cross! man continues submerged in sin, and this has advanced the fulfilment of the prophecies. That is why it is of utmost necessity, that you, my people, annul human egoism and fusion yourselves with my House. I want, I claim mystical souls; souls, that even in the midst of the world, are not dispersed by it, and nothing separates them from me. Children, I want you to live in internal cloisters; that your mind, that your thoughts, that your heart live constantly fused to my House; that your words be praise and adoration, that your gazes be praise and adoration, that your steps walk in adoration and in praise. You do not need to hide from the world, you need to carry the testimony of my life, of my word, of my love to your brothers and sisters. Mature, children, mature! It is time that you mature, that you now cease to be dominated by what is human and instead, let yourselves be dominated by my love. ‘you live in the world, but you are not of the world.’ I love you; I bless you, and once again I ask you, are you prepared? Because the entire world will suffer. I invite you in the time that remains to preach my word to where I call you. Remain in my peace, your Jesus. Hail Mary most pure, conceived without sin. Hail Mary most pure, conceived without sin. Hail Mary most pure, conceived without sin.",,,,,,,
2010,1,11,Jesus Christ,January,"Beloved children, today I invite you to stop and reflect; your country is a country blessed by my hand. It is in this time that I come to show you my Mercy, so that you soon return before this Father who calls you time and time again. Today I alert a beloved people, Costa Rica, so that it redoubles prayer -- for it will suffer, it will suffer. Pray to placate the strength of this country’s volcanoes. In this moment, you have your gaze fixed on a giant, but another one will also awaken and cause pain. Pray, pray so that nature does not see my children as indifferent. The whole world will suffer; just as Miami will soon suffer before the snows that approach. The temperatures in Europe will fall mercilessly. I warn China, the world is going to suffer more. Change, my children; the return of the greatest number of souls to my House is pressing. My Mercy cries out to you. You are my treasure, and I come for you, receive me with love and repentance. Remain in my peace. Your Jesus. Hail Mary most pure, conceived without sin. Hail Mary most pure, conceived without sin. Hail Mary most pure, conceived without sin. ",,,,,,,
2010,1,31,Holy Mary,January,"Beloved children of my Immaculate Heart, I love you and intercede constantly for each one of you. You continue on the path, in the midst of the harsh sun of the mundane which little by little secretly intrudes into the heart of those who are mine, with the end of distancing you from the true path. This harshness that enters the human heart is the work of satan to desensitize every human being and in this way lead you to see one another with lack of affection, to see your brother or sister as an enemy, as nothing, to live with egoism so that love is eliminated from the human being. In this manner, the enemy of humanity will have the great opportunity he has waited for and through deception encourage man to fight for personal survival without fear of causing others harm. Beloved children, when love is exiled, man falls to his lowest instincts; when love is exiled, man is left at the mercy of satan, this is the reason for which today, once again, I call you to not allow love to become distanced from your being; love towards God and neighbour must prevail today more than at any another moment, because satan has prepared his legions to act against humanity, with deceits. This is the time that has been announced, this is the time in which man’s enemy is throwing his poisonous darts to make your heart ill, blind you and present himself as the great saviour, the awaited one, before a confused humanity, because it has expelled God from its heart. The events of nature cause pain and death, hopelessness and distrust; this is and will be used by the enemy to get rid of the faith in the Divine Mercy, getting man to easily forget that we have beseeched a change in behaviour. My Son has called you to consecrate yourselves to my Heart, so that in this way you allow me to guide you like the Mother that I am, of each one of you. Little children, you are living what has been announced, and already hopelessness reigns in the being of a great majority of my children. This is the moment in which you must reaffirm yourselves in faith, trust in the Divine Mercy, in the divine omnipotence; trust that a Father does not abandon his own, but at the same time, the children must seek the Father. Little children, turn to the sacrament of reconciliation, turn to the Eucharistic nourishment, so faith does not deteriorate but is strengthened; turn to this Mother who loves you, ask for the protection of your companions the angels, ask for the intercession of the saints, constantly invoke God’s holy name; live a true life in communion with my Son, so that the enemy does not make you easy prey. Beloved of my heart, do not remain dazed by the mundane, make a stop on the path and see the signs that heaven sends you; see how nature is not the same, how it has changed, announcing to man that difficult moments approach for all of humanity, and with so much frequency, that you will not have time to help one another. Beloved, invoke the Name of God, and nourish yourselves with the Eucharistic Bread; feed yourselves with the body and blood of my Son, that way you will not stagger. Remain firm in faith and pray continually. The life of each one of you must be prayer, not only personal but for your fellow human beings, for those who will soon suffer nature’s attacks, for those who give themselves over into the hands of evil. Oh humanity, oh humanity! You do not listen to this Mother’s outcry! You, children, who live interceding for your brothers and sisters do not decline in prayer, increase it with worldwide chains of the Holy Rosary, so that this clamour rises up to the throne of the most holy Trinity and repairs the offenses that man commits against his creator. Do not fear, your Mother is here, and I intercede for each one of you. I love you. Mother Mary. Hail Mary most pure, conceived without sin. Hail Mary most pure, conceived without sin. Hail Mary most pure, conceived without sin.",,,,,,,
2010,2,2,Jesus Christ,February,"Beloved children, you beat in my heart from which you are continually blessed. Little children, this moment in which you live must be a reason for unity for all my children. It is urgent that you gather next to me. You are moving in a contradictory world in complete convulsion; where lack of affection, violence and scorn towards all that represents me prevail, for evil has produced roots and is tying down humanity more every day through sin and pride. I am father of love, I am Infinite Mercy; but deaf ears do not hear me, sin has blinded you, words are uttered to injure me, hands rise up to cheer the false idols that are increasing among men who seek to satisfy their heart with mundane satisfactions, full of vices. Time and time again, I will call you to return to the path of eternal life, of reconciliation, unity, mercy, hope, faith; and you will attain this by accepting me as king and lord so that my divine light disperses the darkness in which the world lies in at this moment. Children, do not continue to deny yourselves salvation, do not live in the darkness of sin which superabounds. You who pay heed to my calls, must mitigate the strength of sin, by multiplying your commitment in the name of all your brothers and sisters, by being true testimonies of those who live in me. Sickening sin offends all that has been created by my father’s hand; man is indifferent to creation, and creation claims to the creator’s hand. For so much, creation rebels against man but man lets the warnings nature itself constantly gives pass by unnoticed, giving scientific justifications in order to leave off to the side all that my Mother and I have announced to you throughout time. At this present moment, my children cry because of nature’s anguish, which desires that man image and likeness of God, return to his creator. But my own do not see, and each time you will give evil more and more power, until evil drives you to desperation. All that has been created, groans with labour pains upon seeing humanity’s destiny; and in that groaning, my children will suffer so much that they will live their own sin in their interior, feeling the soul tear before the offenses against our house. Every human being will live the product of Their own actions, as an act of my great mercy; but even so, a great amount of those who are mine will continue living their own sin. The light will come for all during a few moments, to free you from sin, but with my pain and that of my Mother, afterwards you will continue with greater strength in black sin, induced by the enemy that will control the weak and unbelieving minds. I invite you to give yourselves over to the loving arms of my Mother and mine, so that she may lead you to the promised land, lead you and guide you to faith that maintains you like strong columns within my mystical body. Today I call you to anoint the frames and the doors of the entrances of your homes while you pray the prayer to St. Michael and the ‘Magnificat,’ as a sign of presenting your homes and your families before my father, and you are protected living in communion with our Trinity. Thus, I invite you to maintain the necessary provisions, which from now on you must keep in your homes. Do not fear my beloved! Just as I fed my people with mana brought down from heaven by my angels, so I will feed my people in spirit and body, in this time. Turn to the Divine Protection with the praying of the ‘Trisagium’ I love you and bless you, my dearly beloved people. Your Jesus. Hail Mary most pure, conceived without sin. Hail Mary most pure, conceived without sin. Hail Mary most pure, conceived without sin. ",,,,,,,
2010,2,3,Holy Mary,February,"Beloved children of my Immaculate Heart, Remain faithful to my Son’s calls. A Mother never frightens her children, but intercedes for them, protects them and alerts them so they are not lost. Thus, this Mother announces to you all that you must know so that you do not fall into sin, but rather you maintain yourselves alert turning to the Divine Mercy. Each one of you is a lamp that attending to my Son’s calls and mine, maintain the flame of the divine love over humanity; you are light in the midst of this humanity that is stunned by the diverse manifestations of sin, which keeps man living atrocious times that have surpassed Sodom and Gomorrah. It is because of this that I invite you to read about the end of these towns of sin in the sacred scriptures, so you reflect and do not leave the constant warnings that heaven sends you by the wayside, not to frighten you, but with the hope that you change in behaviour and action, and all that has raised sin be minimized by prayer and above all conversion. A Mother does not lose hope, but takes advantage of every moment to go in deep in the heart, in the mind of her own, because she does not wish any of her children to be lost. Thus, I do not desire that any of those who are mine be lost and time and time again, as many times as necessary, I will call you to open your eyes, so that you are not deceived by satan who subtly disguises himself in a thousand ways so that you live in his clutches. I cry out to the faithful, so they keep vigil, since at these moments, prayer is infinitely necessary. Everyone must be an intercessor for his or her brother and sister; pray for those who do not pray, love my Son for all who do not love him, and ask for compassion and mercy for every people and nation, for every man in the moments in which you are attacked by nature, in the moments in which you will have the blessing of seeing yourselves on the inside and in that way be able to beg for the Divine Mercy and return to the true path and give yourselves over into paternal hands and reject the malicious ploys of satan. Pray permanently. I invite you again to initiate that worldwide chain of prayer, which is infinitely necessary in these instants. Little children, use the means that my Son allows you in order to convoke this chain of prayer. My faithful, be the ones who are that barrier of protective light that maintains the divine gaze on the earth; be the ones who are that fishing net that obtains the largest catch, be the ones who are that balsam that alleviates the pains that sin causes in my Son’s heart. Beloved, you have forgotten that my Son’s passion has not passed, but stays latent in every brother and sister that suffers, in every mistreated brother and sister, in every offended brother and sister, in every suffering human being. Do not forget that every man is fruit of my Son’s passion; that is why you have the duty of redoubling prayer, of not depriving yourselves of the Eucharist, you must be a holy Church. Beloved of my heart, do not let this call of this Mother go unnoticed, this Mother who keeps watch over her own, and who remains alerting, crying out, gathering her own in the face of the speed of the events, so they are not dispersed along the wrong path. Do not forget that the enemy attacks those who are mine, seeks to snatch you away from me, and wishes to mark you permanently, to keep you in his dominions. You the faithful, do not allow yourselves to be marked by the lying beast, who hustles souls for money and power. Trust in my Son’s promises and in those that as Mother of all men I have brought to you by divine blessing. My hand will never leave you, but be faithful and do not hesitate, Be faithful, for the aid of heaven will not be made to wait. I love you; you remain in my heart. Mother Mary. Hail Mary most pure, conceived without sin. Hail Mary most pure, conceived without sin. Hail Mary most pure, conceived without sin. ",,,,,,,
2010,2,16,Jesus Christ,February,"Beloved children, I bless you. My love for you is infinite, as my Mercy is infinite. You are my beloved children; you are my flock and I zealously shepherd my own. I gave myself up on the Cross of glory for each one of you, so that in the Cross you defeat evil. You are my treasure. I call you to be aware of the instant in which humanity is moving; I call you to give yourselves over trustingly to my protection, I call you to stay awake. I have confided to you all that is going to happen so that you are not bewildered when the hour arrives; I alert you so that you change, because soon you will see your internal ‘I’ face to face, and at that moment you will be sorry for having rejected my Mother’s advice. Children, reflect on your life, repent and confess your sins, because you wander about wildly, dragged by the current of modernisms, which has even invaded my Church, confusing my people and denying the word that I give you through my instruments, treating me without respect and allowing you to be Christians without commitment. Today I see you thirsty and give you, my blood; I see you hungry and give you, my body; I see you overwhelmed and have taken on my Cross your grief. Here I am waiting for you; here I am, beggar of love who knocks on the door of the conscience of his children so that they recognize themselves to be sinners and repent. Humility my people, humility! In beginning this Lenten season, redouble prayer, turn to the sacrament of reconciliation, precious pearl that allows you to find true peace, the peace that the world does not give! Come to me, come to me; nourish yourselves from my flesh and my blood. My Mother has announced to you throughout the world, across the ages, what is, now, about to come. I do not call you by means of fear, but by love. As I gave myself up for you, so I will come with my Mercy to the interior of each one of you, and you will see your actions even when you do not want to see them; you will feel the offenses even when you do not want to feel them. It will be a warning, in the interior of the human being, you will be alone with me. This is the love of the king who does not want his own to be lost, and moves his plans forward. I have entrusted my word to you. Announce it to your brothers and sisters without fear. Today my people are a people of heroes, of the brave who give their life for me. My people know that they fight against the mundane, my people are captive and must get up. That is why I will not leave you on your own, that is why I will come and those who have not believed, will be ashamed. My people, maintain the faith, do not lose heart, for your Jesus is with his own. Remain in my peace, I bless you. Your Jesus Hail Mary most pure, conceived without sin. Hail Mary most pure, conceived without sin. Hail Mary most pure, conceived without sin. ",,,,,,,
2010,2,17,Jesus Christ,February,"My beloved people, once again, I invite you to remain in my love. Upon beginning this Lenten season, of penance, of fasting, of prayer, of almsgiving, of mercy, but above all of love and of conversion, I call you to examine yourselves profoundly without pretences. Today I call you, beloved people of my heart, to reflect profoundly in your innermost being, about those sins which you still commit with ease; I call you to amend them quickly. I urgently invite you to pray without ceasing, to be the intercessors of your brothers and sisters. I invite you to give alms to your neighbour, but above all to yourselves, yes, to yourselves. Love yourselves so that you can love your neighbour; forgive yourselves so that you can forgive your neighbour; my beloved children, you cannot give what you do not possess. I also invite you to be a single heart alongside mine, that at this time prayer be born from the intimate part, the intimate part of the human being. Fuse yourselves with me, comply with the Urgent calls of my blessed Mother and Mother of all of humanity. We alert you every day, because our love is infinite as our mercy is infinite. Close your eyes for a moment and open the eyes of the spirit and see my infinite love towards you and with that infinite love of my heart, love your brothers and sisters, forgive, do not see the small things, see the great qualities, gifts, virtues that your brothers and sisters possess. I do not see that which is small in the human being; I see that which is big, I see my image and likeness, I see the love that you have for me. So, in this time I call you to be my very love, not to remain stuck on the small details that detain you on the path. Today especially I call you to fast. Of course, I am grateful for the fasting that you are in the habit of offering to me frequently, the fasting from physical nourishment. Today I call you to fast from your ‘ego,’ from the character that each one of you possesses. I call you to dedicate these forty days to annul that which most stands out, that with which egoism rebels most within you, that which is hardest for you to dominate, to bend in your humanity, in your character; for hidden in the innermost part of your being is that which holds you back from fusing completely with me. Today I invite you to this fasting, to this fasting which perhaps will cost you the most. It is the one that will most bend you, it is the one you will offer me second to second, instant to instant, because you must eradicate now, you must cease to wander now in the desert you are kept in by that which is merely human. Get those idols away from you, caprice, anxieties, lack of comprehension towards your brothers and sisters, vanity, lack of humility, the idolatry towards that ego which still dominates your impulses. That is what I come to ask my people for today, the nullity of your human ego the total and absolute nullity. Beloved of my heart, we are living an urgent time. Do you by any chance not see the signs that I continually send so that you reflect on the proximity of the times? And what more can I do as father, than give myself up and carry the sins that you have committed? There in the garden of olives I suffered every one of your sins, every lack of correspondence, every intolerance to the errors of your brothers and sisters, every lack of humility, every lack of commitment, every spittle, every betrayal, I suffered it all, I carried it for love of you. Now I come, I come before each one of you to ask for love. I thirst for your love. My creation thirsts for the love of mankind, and this time is a time of mercy so that each one of you reflects and gives to me that which prevails most in your being and that keeps you distanced from my love. My beloved people, how I love you! How I love you to the extreme! And in that love of this Father who gives himself up for his own, I invite you to go deep into my merciful heart. Do not fear, there is no sin I cannot forgive if you come repentant before me. Nourish yourselves from me, from my body, from my blood. I will give you the strength so that you may correspond highly to my petitions. Remain in my peace, I bless you. Your Jesus Hail Mary most pure, conceived without sin. Hail Mary most pure, conceived without sin. Hail Mary most pure, conceived without sin. ",,,,,,,
2010,2,24,Holy Mary,February,"Beloved people; dearly beloved children of my heart, Today I call you to remain united, in the unity of my Son’s love. Today I come once again to extend my Motherly hand before each one of you, so that you allow me to guide you towards my Son. I am the Ark of the New Covenant. I invite you today to board this Ark so that you allow yourselves to be led through safe waters. With sorrow I must tell you that many of my children ignore my calls and it is already raining, it is raining. That is why I call you again to board this Ark of the New Covenant. In her you will find yourselves secure, you will find yourselves with strength to confront the difficult moments that are approaching. I call you all to live in unity without dispersing, without taking other paths, because it is urgent that all my children form a wall fortified by love, so that it is indestructible. Each one of you is forming that wall, and it is urgent that it be raised quickly, because I need my faithful to unite, and as a single front defend themselves from the evil that prowls around mankind’s every side. Without you perceiving it, the evil one launches malicious ploys, like poisonous darts, to undermine little by little the spiritual foundation of each one of my children. That is why you must be conscious that each one of you forms part of the mystic body and that each one of you is important within the total work. Today, here I am, before you. Come, trustingly board this Ark That has been prepared to be a refuge for all the children Who remain attentive to the calls of the Paternal House? Beloved of my heart, how quickly the events that are about to come have accelerated! How quickly all that is written approaches! And how I see many of my children with deaf ears, with their eyes clouded by all the mundane that prowls around them, because they have fabricated false idols, and these reign in their hearts! But you, valiant children, faithful of my heart, unite, pray, so that maintaining one voice of adoration to the father, you be the defence of those who still walk not knowing which path to take. Be the encouragement of those who at this moment are weakening because of whatever situation. Be the eyes, be the ears, be the voice, the echo of my calls. We have already alerted you insistently about the necessity of checking your life, and taking advantage of this time to correct your path and behaviour. Little children, it is important that you find peace in the sacrament of reconciliation; it is urgent that you be those lamps that remain lit without going out, without fading. You must learn to discern, and at this moment, my children’s enemy is attacking them to disperse them, because he knows that I have a great battalion of children who, with the weapon of love, warn their brothers and sisters time and time again, about the urgency to encounter their father again. I love you, children; I bless you. I bless you because this Mother comes as the Ark of the New Covenant, So that you come inside me, and in me maintain yourselves protected And remain faithful to my Son. I bless you. Remain in my ark, remain in my heart, filled with my love. Mother Mary. Hail Mary most pure, conceived without sin. Hail Mary most pure, conceived without sin. Hail Mary most pure, conceived without sin. ",,,,,,,
2010,3,3,Holy Mary,March,"Beloved children, today I call you to love, to the observance of love towards your fellow man. Today in which you fearfully look upon the suffering in various nations of the world, and with anxiety and anguish, you come closer to see the insistent calls of the Paternal House, eager to calm your thoughts wishing to know what was of no interest yesterday. Today I ask you, do not be indifferent to the pain of others. There is pain, and it will continue to spread itself quickly throughout various countries; they will see the signs of the times, from the most powerful to the smallest. Beloved of my heart, pain spreads like a shadow over humanity, day is no longer day, night is not night. The human heart has tinged itself with egoism and will turn against itself. Children, prepare yourselves, convert. All that my Son and this Mother have announced to you will happen in the blink of an eye. ‘lent is a time of purification,’ do not forget it. I do not frighten you, I warn you so that you remain awake, so that you overcome temptation. Children, turn speedily to my Son, do not wait for the events that have been announced to cry out for Mercy. You must be part of that wall of prayer that rises to the throne of the most holy Trinity, interceding for humanity. Man must change, egoism must be eradicated from the face of the earth. In moments of tragedy, human beings’ egoism shows through in all of its facets, pain does not soften hearts, on the contrary it sinks them more, everyone fights for their own interests without sharing with their brother and sister. My own walk from tragedy to tragedy, without softening their feelings, until they see themselves face to face with their conscience; then there will be lamentation, repentance and conversion. Humanity’s behaviour has accelerated the fulfilment of the prophecies and what was at the door, is now inside; sin exceeded the cup. Beloved children of my heart, pray for one another without becoming discouraged, remain united. I love you, children. Mother Mary. Hail Mary most pure, conceived without sin. Hail Mary most pure, conceived without sin. Hail Mary most pure, conceived without sin.",,,,,,,
