year,month,day,author,month_string,text_en,text_pl,text_it,text_es,text_fr,text_zh,text_de,text_pt
2009,1,0,Jesus Christ,,,,,,,,,
2009,1,0,Holy Mary,,,,,,,,,
2009,1,0,Archangel Michael,,,,,,,,,
2009,2,0,Jesus Christ,,,,,,,,,
2009,2,0,Holy Mary,,,,,,,,,
2009,3,0,Jesus Christ,,,,,,,,,
2009,3,15,Jesus Christ,,,,,,,,,
2009,4,0,Jesus Christ,,,,,,,,,
2009,4,0,Holy Mary,,,,,,,,,
2009,5,0,Jesus Christ,,,,,,,,,
2009,5,0,Jesus Christ,,,,,,,,,
2009,5,18,Jesus Christ,,,,,,,,,
2009,5,25,Holy Mary,,,,,,,,,
2009,6,0,Holy Mary,,,,,,,,,
2009,6,0,Holy Mary,,,,,,,,,
2009,6,25,Holy Mary,,,,,,,,,
2009,6,27,Holy Mary,,,,,,,,,
2009,7,3,Jesus Christ,,,,,,,,,
2009,7,5,Holy Mary,,,,,,,,,
2009,7,15,Holy Mary,,,,,,,,,
2009,7,23,Holy Mary,,,,,,,,,
2009,7,25,Holy Mary,,,,,,,,,
2009,7,30,Holy Mary,,,,,,,,,
2009,8,13,Holy Mary,,,,,,,,,
2009,9,9,Holy Mary,,,,,,,,,
2009,9,23,Holy Mary,,,,,,,,,
2009,9,29,Archangel Michael,,,,,,,,,
2009,10,3,Jesus Christ,,,,,,,,,
2009,10,15,Holy Mary,,,,,,,,,
2009,11,7,Holy Mary,,,,,,,,,
2009,11,27,Jesus Christ,,,,,,,,,
2009,11,28,Holy Mary,,,,,,,,,
2009,12,2,Our Father,,,,,,,,,
2009,12,7,Holy Mary,,,,,,,,,
2009,12,25,Jesus Christ,,,,,,,,,
2009,12,27,Holy Mary,,,,,,,,,
