,year,month,day,author,text,text_en,text_pl,month_string,date
0,2016,4,21,Holy Mary,"Mentre ero con mio marito sdraiata sul letto a vedere la TV, sento una voce che mi chiamava. Chiesi a mio marito di abbassare il volume della televisione e nel girarmi verso la statuina posizionata sul comò, vidi la Madonna avvolta da un velo bianco ed un mantello color blu/celeste. In lacrime dissi a mio marito: la Madonnina! la Madonnina!e d’istinto ci inginocchiamo entrambi ai piedi del letto. Lei sorridendo mi disse: Figlia mia, sono la Vergine Santa, non aver paura, ho scelto voi perché siete pieni d'amore e speranza e su questo deve essere fondata la vita. Ti invierò tante persone che hanno bisogno di essere convertite, non chiudere le porte ma aprìle affinché tutti possano vedere e imparare ad amare mio figlio Gesù. Tornerò presto e anche loro (riferito ai miei familiari) sentiranno la mia presenza con un mio segno. Ti benedico nel nome del Padre del Figlio e dello Spirito Santo. Amen. Al termine dell’apparizione tutti i miei famigliari in casa hanno avvertito un suono di campanelle.","While I was with my husband lying on the bed watching TV, I hear a voice calling me. I asked my husband to turn down the volume of the television and as I turned to the statue placed on the dresser, I saw the Madonna wrapped in a white veil and a blue / light blue cloak. In tears I said to my husband: the little Madonna! Our Lady! and instinctively we both kneel at the foot of the bed. Smiling, she said to me: My daughter, I am the Holy Virgin, do not be afraid, I have chosen you because you are full of love and hope and on this life must be founded. I will send you many people who need to be converted, do not close the doors but open them so that everyone can see and learn to love my son Jesus. I will return soon and they too (referring to my family) will feel my presence with a sign of me. I bless you in the name of the Father of the Son and of the Holy Spirit. Amen. At the end of the apparition, all my family members in the house heard the sound of bells. ","Kiedy leżałam z mężem na łóżku i oglądałam telewizję, usłyszałam wołający mnie głos. Poprosiłam męża, aby ściszył telewizor, a kiedy odwróciłam się do posągu umieszczonego na komodzie, zobaczyłam Madonnę owiniętą w biały welon i niebiesko-jasnoniebieski płaszcz. Ze łzami w oczach powiedziałam mężowi: mała Madonna! Matko Boża! I instynktownie oboje klękamy przy nogach łóżka. Uśmiechając się, powiedziała do mnie: Córko Moja, jestem Najświętsza Dziewica, nie bój się, wybrałam cię, ponieważ jesteś pełna miłości i nadziei, i na tym musi opierać się życie. Wyślę Ci wielu ludzi, którzy potrzebują nawrócenia, nie zamykaj drzwi, ale otwieraj je, aby każdy mógł zobaczyć i nauczyć się kochać mojego syna Jezusa, wkrótce wrócę i oni również (odnosząc się do mojej rodziny) poczują moją obecność poprzez mój znak. Błogosławię was w imię Ojca i Syna i Ducha Świętego. Amen. Pod koniec objawienia wszyscy członkowie mojej rodziny w domu usłyszeli dźwięk dzwonków. ",April,2016-4-21
1,2016,4,28,Holy Mary,"Figlia mia, il mio cuore soffre per l'ingiustizia, la mancanza di fiducia nei segni che vi manda Dio dal cielo. La fede si dimostra anche accettando con umiltà e fiducia il Signore. Ascoltate ciò che Dio vi dice e non resistete al suo richiamo. Meditate! Questa madre vuole versare il suo amore per voi per prepararvi il cuore verso, suo Figlio. Accettate la mia benedizione e la mia protezione. Vi benedico nel nome del Padre del Figlio e dello Spirito Santo. Amen","My daughter, my heart suffers from injustice, the lack of trust in the signs that God sends you from heaven. Faith is also shown by accepting the Lord with humility and trust. Listen to what God tells you and do not resist the call of him. Meditate! This mother wants to pour out her love for you to prepare your heart for her, her Son. Accept my blessing and my protection. I bless you in the name of the Father of the Son and of the Holy Spirit. Amen ","Moja córko, moje serce cierpi z powodu niesprawiedliwości, braku zaufania do znaków, które Bóg zsyła ci z Nieba. Wiara przejawia się także w przyjęciu Pana z pokorą i ufnością. Posłuchaj, co mówi ci Bóg, i nie opieraj się Jego wezwaniu. Rozważaj! Ta matka chce wylać swoją miłość do Ciebie, aby przygotować Twoje serce na Jej Syna. Przyjmij moje błogosławieństwo i moją ochronę. Błogosławię was w imię Ojca i Syna i Ducha Świętego. Amen ",April,2016-4-28
2,2016,4,30,Holy Mary,"Figlia mia, non disperarti, ti seguirò io. Aiuta gli altri a pregare, a riavvicinarsi a Dio Creatore. Il mio cuore sanguina perché ormai siamo vicini e la Chiesa è molto confusa e offuscata. Ricorda, che solo con la preghiera avrete l’eternità.  Vi benedico nel nome di Padre del Figlio e dello Spirito Santo. Amen.","My daughter, do not despair, I will follow you. Help others to pray, to get closer to God the Creator. My heart is bleeding because we are close by now and the Church is very confused and clouded. Remember, only with prayer will you have eternity. I bless you in the name of the Father of the Son and of the Holy Spirit. Amen. ","Moja córko, nie rozpaczaj, pójdę za tobą. Pomóż innym w modlitwie, zbliżeniu się do Boga Stwórcy. Moje serce krwawi, ponieważ jesteśmy już blisko, a Kościół jest bardzo zdezorientowany i zachmurzony. Pamiętaj, że tylko dzięki modlitwie będziesz miała wieczność. Błogosławię was w imię Ojca i Syna i Ducha Świętego. Amen. ",April,2016-4-30
3,2016,5,2,Holy Mary,"Figlia mia i tre giorni di buio stanno per arrivare. Sarà una notte molto fredda. Non abbiate paura, perché chi crederà a mio Figlio sarà salvato. Insisto a chiedere di recitare il rosario e chi lo insegnerà ad altri avrà cinta la testa di perle di misericordia e di gloria per tutte le anime che avrà salvato. Vi benedico nel nome del Padre del Figlio dello Spirito Santo. Amen.","My daughter, the three days of darkness are about to arrive. It will be a very cold night. Do not be afraid, because whoever believes in my Son will be saved. I insist on asking to recite the rosary and whoever teaches it to others will have his head covered with pearls of mercy and glory for all the souls he will have saved. I bless you in the name of the Father of the Son of the Holy Spirit. Amen. ","Moja córko, trzy dni ciemności wkrótce nadejdą. To będzie bardzo zimna noc. Nie lękajcie się, bo każdy, kto uwierzy w mojego Syna, będzie zbawiony. Nalegam, aby prosić o odmawianie różańca, a ktokolwiek uczy go innych, będzie miał głowy pokryte perłami miłosierdzia i chwały dla wszystkich dusz, które uratowali. Błogosławię was w imię Ojca i Syna i Ducha Świętego. Amen. ",May,2016-5-2
4,2016,5,14,Holy Mary,"Figlia mia dì al Vescovo di non smettere di lottare. Deve pregare per il mondo, perché satana non smetterà di prendersi tutte le anime anche a lui vicino. Stai tranquilla, la tua famiglia ha la mia benedizione, ma anche voi dovrete lottare per le preghiere che io vi chiedo e soprattutto per le conversioni, io ti sarò sempre accanto. Piango per le decisioni sbagliate che stanno prendendo i governanti e per la Chiesa, che si trova in grandi difficoltà; soprattutto il Papa, pregate per loro affinché le scelte che faranno saranno solo decise dal cuore. Ti benedico nel nome del Padre del Figlio dello Spirito Santo. Amen”","My daughter tell the Bishop not to stop fighting. He must pray for the world, because Satan will not stop taking all souls even close to him. Do not worry, your family has my blessing, but you too will have to fight for the prayers that I ask you and above all for the conversions, I will always be next to you. I cry for the wrong decisions that the rulers are making and for the Church, which is in great difficulty; especially the Pope, pray for them so that the choices they make will only be decided by the heart. I bless you in the name of the Father of the Son of the Holy Spirit. Amen"" ","Moja córko, powiedz biskupowi, żeby nie przestawał walczyć. Musi modlić się za świat, ponieważ Szatan nie przestanie brać wszystkich dusz nawet blisko siebie. Nie martw się, twoja rodzina ma moje błogosławieństwo, ale i ty będziesz musiał walczyć o modlitwy, o które Cię proszę, a przede wszystkim o nawrócenia, zawsze będę przy tobie. Płaczę z powodu złych decyzji, które podejmują rządzący i za Kościołem, który znajduje się w wielkich trudnościach; zwłaszcza z powodu Papieża. Módl się za nich, aby wybory, których dokonają, były podejmowane wyłącznie z serca. Błogosławię was w imię Ojca i Syna i Ducha Świętego. Amen"" ",May,2016-5-14
5,2016,5,25,Holy Mary,"Cari Figli riconosco i vostri dolori, pregate e sarò vicino a voi. Pregate Gesù e sarete vittoriosi. Pregate per coloro che non credono. Non smettete, ci sono tante persone che hanno bisogno di redimersi e non saranno perse tutte le vostre sofferenze. Non smettete di pregare. Vi benedico nel nome del Padre del Figlio e dello Spirito Santo. AmenLa madonna in questa occasione ha pregato in aramaico su tutti i presenti durante la recita del Santo Rosario.","Dear children, I recognize your pains, pray and I will be close to you. Pray to Jesus and you will be victorious. Pray for those who don't believe. Do not stop, there are many people who need to redeem themselves and all your suffering will not be lost. Don't stop praying. I bless you in the name of the Father of the Son and of the Holy Spirit. Amen On this occasion, Our Lady prayed in Aramaic on all present during the recitation of the Holy Rosary. ","Drogie dzieci, rozpoznaję wasze bóle, módlcie się, a będę blisko was. Módlcie się do Jezusa, a odniesiecie zwycięstwo. Módlcie się za tych, którzy nie wierzą. Nie przestawaj, jest wielu ludzi, którzy muszą się odkupić, a wszystkie twoje cierpienia nie zostaną utracone. Nie przestawajcie się modlić. Błogosławię was w imię Ojca i Syna i Ducha Świętego. Amen. Matka Boża modliła się przy tej okazji w języku aramejskim za wszystkich obecnych podczas odmawiania Różańca Świętego. ",May,2016-5-25
6,2016,5,29,Holy Mary,"Cari figli, Vi ringrazio e sono molto felice perché siete riuniti anche oggi qui. Siete i miei Apostoli. Non fatevi tentare da Satana perché lui è forte, ma con la preghiera voi lo vincerete. Gesù vi dà la sua benedizione, insieme a me, Vostra Madre. Vi benedico nel nome del Padre del Figlio e dello Spirito Santo. Durante la recita del Santo Rosario la Madonna teneva Gesù piccolo in braccio poi alla fine, aprendo le braccia ci ha avvolti tutti con il suo mantello celeste dando la sua Benedizione nel nome del Padre del Figlio e dello Spirito Santo . Amen","Dear children, I thank you and I am very happy because you are gathered here also today. You are my Apostles. Do not be tempted by Satan because he is strong, but with prayer you will overcome him. Jesus gives you his blessing, together with me, your mother. I bless you in the name of the Father of the Son and of the Holy Spirit. During the recitation of the Holy Rosary, Our Lady held little Jesus in her arms then at the end, opening her arms, she wrapped us all with her heavenly mantle giving her Blessing in the name of the Father of the Son and of the Holy Spirit. Amen ","Drogie dzieci, dziękuję wam i bardzo się cieszę, ponieważ jesteście tu dziś zgromadzeni. Jesteście moimi apostołami. Nie ulegaj pokusie szatana, ponieważ jest silny, ale dzięki modlitwie go pokonasz. Jezus daje wam swoje błogosławieństwo razem ze mną, waszą matką. Błogosławię was w imię Ojca i Syna i Ducha Świętego. Podczas odmawiania Różańca Świętego, Matka Boża trzymała małego Jezusa w ramionach, a następnie na końcu, otwierając ramiona, otuliła nas wszystkich swym niebiańskim płaszczem, udzielając jej błogosławieństwa w imię Ojca i Syna i Ducha Świętego. Amen ",May,2016-5-29
7,2016,6,1,Holy Mary,Figlia mia sono felice di essere qui. Occorre che ci sia la conversione perché Dio ha fretta. I vostri nomi sono incisi nel mio cuore Immacolato e ognuno avrà la propria ricompensa per aver favorito i miei piani. Non abbiate paura. Vi benedico nel nome del Padre del Figlio e dello Spirito Santo. Amen”,"My daughter, I am happy to be here. There must be conversion because God is in a hurry. Your names are engraved in my Immaculate heart and each one will have their own reward for having favored my plans. Do not be afraid. I bless you in the name of the Father of the Son and of the Holy Spirit. Amen"" ","Moja córko, cieszę się, że tu jestem. Musi nastąpić nawrócenie, ponieważ Bóg nie będzie zwlekać. Wasze imiona są wyryte w moim Niepokalanym Sercu i każdy otrzyma własną nagrodę za sprzyjanie moim planom. Nie bój się. Błogosławię was w imię Ojca i Syna i Ducha Świętego. Amen"" ",June,2016-6-1
8,2016,6,11,Holy Mary,"Figli miei grazie per essere qui sempre più numerosi. Io vi toccherò uno ad uno, affinché possiate portare la mia benedizione ai bisognosi e alle vostre famiglie. Amate mio Figlio perché è Lui che mi manda a toccare la terra. Inginocchiatevi e siate umili. Vi benedico nel nome del Padre del Figlio e dello Spirito Santo. Amen”","My children, thank you for being here more and more numerous. I will touch you one by one, so that you can bring my blessing to the needy and to your families. Love my Son because it is He who sends me to touch the earth. Kneel and be humble. I bless you in the name of the Father of the Son and of the Holy Spirit. Amen"" ","Moje dzieci, dziękuję wam, że jest was tu coraz więcej. Dotknę was jednego po drugim, abyście mogli nieść moje błogosławieństwo potrzebującym i swoim rodzinom. Kochajcie mojego Syna, ponieważ to On posyła mnie, abym dotknęła ziemi. Uklęknijcie i bądźcie pokorni. Błogosławię was w imię Ojca i Syna i Ducha Świętego. Amen"" ",June,2016-6-11
9,2016,6,14,Holy Mary,"Figli miei, grazie ancora una volta di essere qui con me. Grazie per avermi cercata. Grazie per avermi accolta qui nel vostro cuore. Amate mio Figlio perché è l'unica verità. Siete sulla giusta strada, farò tante grazie per darvi segno della mia presenza. Grazie miei apostoli. Con il cuore della vostra mamma riceverete la mia benedizione nel nome del Padre del Figlio dello Spirito Santo. Amen”","My children, thank you once again for being here with me. Thanks for looking for me. Thank you for welcoming me here in your heart. Love my Son because he is the only truth. You are on the right path, I will thank you very much to give you a sign of my presence. Thank you my apostles. With your mother's heart you will receive my blessing in the name of the Father of the Son of the Holy Spirit. Amen"" ","Moje dzieci, jeszcze raz dziękuję, że jesteście tu ze mną. Dziękuje, że mnie szukalicie. Dziękuję za przyjęcie mnie w swoich sercach. Kochajcie mojego Syna, bo On jest jedyną prawdą. Jesteście na dobrej drodze, bardzo wam dziękuję za świadectwo mojej obecności. Dziękuję wam, moi apostołowie. Sercem swojej mamy otrzymasz moje błogosławieństwo w imię Ojca i Syna i Ducha Świętego. Amen"" ",June,2016-6-14
