author,date,text
Holy Mary,01 maggio 2021," Cari figli, grazie per aver risposto alla mia chiamata nel vostro cuore. Figli amati, voi siete stati avvertiti per tutto ciò che verrà, vi chiedo soltanto di afferrare le mie mani senza alcuna paura, sapete a ciò che andate incontro per questi tempi, la violenza, la blasfemia e la confusione sono già nel mondo, ma per voi è tempo di testimonianza e di accoglienza dello Spirito Santo. Figli, oggi la vostra tenacia verrà ripagata con moltitudini di grazie. Ora vi benedico nel nome del Padre, del Figlio e dello Spirito Santo, Amen."
Holy Mary,03 maggio 2021," Cari figli, grazie per aver ascoltato la mia chiamata nel vostro cuore e grazie per aver piegato le vostre ginocchia. Figli amati, siete in mezzo a una battaglia spirituale che l’umanità non ha mai vissuto. Figli, siate saldi nella fede e pregate, pregate molto per essere pronti quando arriverà il momento. Ricordate che le tribolazioni faranno parte di questi tempi, ma non dimenticate che la sofferenza più è grande e più le grazie saranno enormi. Figli miei, la guerra tra il bene e il male è in terra, cosi come è stato in cielo, ma voi non dovete temere perché chi chiederà il Suo aiuto avrà Lui come primo consolatore, amore e vincitore e voi insieme a Lui. Non alimentate le tenebre, ma convertitevi in fretta, il tempo è alla sua conclusione. Dove Gesù vi chiamerà, andate senza esitare e nulla vi mancherà, siate profeti di questi tempi, andate e predicate l’infinito amore di Dio  anche il  mio come Madre. Figli, tante saranno le grazie che qui scenderanno oggi. Abbiate sempre il coraggio della Fede. Tutto è pronto per il mio piccolo resto. Ricordate che se Dio permette tutto questo è per darvi la possibilità di scegliere sempre nel libero arbitrio. Ora vi do la mia benedizione materna nel nome del Padre, del Figlio e dello Spirito Santo, Amen."
Holy Mary,08 maggio 2021, Cenacolo in Polonia.
Holy Mary,12 maggio 2021, Cenacolo in Polonia
Holy Mary,13 maggio 2021," Amati figli miei, grazie per essere qui nella preghiera in questo giorno molto speciale. Figli amati, cosi come a Fatima, oggi vi chiedo di convertirvi al più presto perché ormai il tempo è nella sua conclusione. Figli miei, oggi avete consolato il mio Santissimo Cuore con la preghiera e con la vostra fede, che chiedo di mantenere sempre salda, ed Io, vi prometto la mia santa protezione. Ora vi benedico nel nome del Padre, del Figlio e dello Spirito Santo, Amen."
Holy Mary,18 maggio 2021," Figli miei, grazie per essere qui nella preghiera e per aver ascoltato la mia chiamata nel vostro cuore. Figli amati, non attendete gli ultimi momenti, ma afferrate le mie mani e fatevi portare dove non c’è iniquità, orgoglio e superbia. Figli, la terra presto subirà la più grande purificazione, le acque invaderanno la Terra e il fuoco scenderà dal cielo, abbiate coraggio nella fede e sottomettetevi a Gesù vostro Dio, la salvezza sarà per il mio popolo, non temete, ma siate pronti. Pregate per la Chiesa, da lì sono arrivate le divisioni e dico loro: PENTITEVI prima che sia troppo tardi, ed è per questo che Gesù soffre. Pregate figli miei, perché le guerriglie saranno sempre più forti, pregate per i sacerdoti santi perché ne avranno molto bisogno. Ora vi lascio con la mia santa benedizione nel nome del Padre, del Figlio e dello Spirito Santo, amen."
Holy Mary,22 maggio 2021,Trevignano Romano 22 maggio 2021
Holy Mary,25 maggio 2021,Trevignano Romano 25 maggio 2021
Holy Mary,29 maggio 2021,Trevignano Romano 29 maggio 2021
Holy Mary,nel seguente modo:,In nota al paragrafo come sopra   va inteso nel seguente modo:
Holy Mary,richiami del cielo.,"Figli, pregate per la Chiesa dove molti miei figli prediletti non annunciano la Parola di Dio ma le loro idee e, pieni di orgoglio, sono insensibili ai richiami del cielo."
