year,month,day,author,text,text_en,text_pl,month_string
2019,1,03,Holy Mary,"Cari figli, grazie per aver risposto alla mia chiamata nel vostro cuore. Figli cari, quanti peccati vengono accumulati giorno per giorno da tutti, Chiesa, Fedeli e non. Figli miei, perchè vi lasciate tentare tutti i giorni dal male? Perché, ancora non capite che questi sono i tempi dove la verità deve essere proclamata, il nome di Gesù è la via, la verità e la vita, non perdete ancora tempo, ne avete perso tanto, adesso vi invito a confessare tutti i peccati, quelli che non siete riusciti a confessare fino ad oggi, siate puliti e pronti perché il tempo è vicino. Ora, vi ringrazio per avermi accolto ancora una volta e Vi benedico con Amore Materno, nel nome del Padre e del Figlio e dello Spirito Santo, Amen”.","Dear children, thank you for having responded to my call in your heart. Dear children, how many sins are accumulated day by day by everyone, Church, Faithful and not. My children, why do you allow yourselves to be tempted by evil every day? Because, you still don't understand that these are the times where the truth must be proclaimed, the name of Jesus is the way, the truth and the life, do not waste time yet, you have lost so much, now I invite you to confess all your sins, those you have not been able to confess to this day, be clean and ready for the time is near. Now, I thank you for having welcomed me once again and I bless you with Maternal Love, in the name of the Father and of the Son and of the Holy Spirit, Amen ”. ","Drogie dzieci, dziękuję wam, że odpowiedzieliście na moje wezwanie w waszych sercach. Drogie dzieci, ile grzechów każdego dnia popełniają wszyscy, Kościół, wierzący i niewierzący. Moje dzieci, dlaczego każdego dnia pozwalacie się kusić złu? Ponieważ nadal nie rozumiesz, że są to czasy, w których trzeba głosić prawdę, imię Jezusa jest drogą, prawdą i życiem, nie trać już czasu, tyle straciłeś, teraz zapraszam do wyznania wszystkich swoich grzechów, ci, których nie mogłeś wyznać do dziś, bądźcie czyści i gotowi, bo czas jest bliski. Teraz dziękuję wam za ponowne przyjęcie mnie i błogosławię was matczyną miłością w imię Ojca i Syna i Ducha Świętego, Amen ",January
2019,1,05,Holy Mary,"Cari figli, grazie per essere uniti qui nella preghiera. Cari miei piccoli pregate, pregate, le pestilenze stanno arrivando e le epidemie si stanno divulgando, tutto avrà inizio a Roma, dove sta la Chiesa di Pietro malata. Pregate figli miei continuAmente, i tempi che vi ho predetto sono iniziati, ma voi non temete perché io sarò sempre al vostro fianco. Amori miei, quelli che verranno saranno i tempi di raccolta, quindi seminate bene e chi non lo ha ancora fatto, chiedo di convertirsi. Grazie figli miei, ora vi benedico nel nome del Padre, del Figlio e dello Spirito Santo, Amen”.","Dear children, thank you for being united here in prayer. My dear little ones, pray, pray, the plagues are coming and the epidemics are spreading, everything will begin in Rome, where the sick Church of Peter is. Pray my children continuously, the times that I have predicted for you have begun, but do not be afraid because I will always be at your side. My loves, those that will come will be the times of harvest, so sow well and who has not yet done so, I ask to be converted. Thanks my children, now I bless you in the name of the Father, of the Son and of the Holy Spirit, Amen ”. ","Drogie dzieci, dziękuję wam, że jesteście tu zjednoczeni w modlitwie. Módlcie się, módlcie się, módlcie się, nadchodzą plagi, szerzą się epidemie, wszystko zacznie się w Rzymie, gdzie jest chory Kościół Piotra. Módlcie się nieustannie, moje dzieci, zaczęły się czasy, które wam przewidziałam, ale nie lękajcie się, bo zawsze będę przy was. Moi umiłowani, czasy, które nadejdą, będą czasami żniw, więc siejcie dobrze, a tych którzy jeszcze tego nie zrobili, proszę o nawrócenie. Dziękuję wam, moje dzieci, teraz błogosławię was w imię Ojca, Syna i Ducha Świętego, Amen ",January
2019,1,08,Holy Mary,"Cari e amati fratelli, grazie per essere riuniti qui in questa casa benedetta. Fratelli cari, proclamate con gioia la mia venuta, siate gioiosi nel vostro cuore, perché il vostro Re è per essere in mezzo a voi. Non fatevi impaurire del futuro, avrete la nostra protezione, così come mi avete accolto nei vostri cuori, così io vi accoglierò nel nuovo Paradiso, le prelibatezze sono pronte per voi, con pace, gioia e amore infinito. Ora passerò vicino ad ognuno di voi per darvi la mia Santa Benedizione, nel nome del Padre nel mio nome e dello Spirito Santo, Amen”.  Il Vostro Gesù","Dear and beloved brothers, thank you for being gathered here in this blessed home. Dear brothers, proclaim my coming with joy, be joyful in your heart, because your King is to be among you. Do not be afraid of the future, you will have our protection, just as you have welcomed me into your hearts, so I will welcome you into the new Paradise, the delicacies are ready for you, with peace, joy and infinite love. Now I will pass by each one of you to give you my Holy Blessing, in the name of the Father in my name and of the Holy Spirit, Amen ”. Your Jesus ","Drodzy i umiłowani bracia, dziękuję wam, że jesteście tu, w tym błogosławionym domu. Drodzy bracia, z radością ogłaszajcie moje przyjście, radujcie się w sercu, bo wasz Król ma być pośród was. Nie bójcie się przyszłości, będziecie mieć naszą ochronę, tak jak mnie przyjęliście w swoich sercach, tak ja powitam was w nowym raju, wspaniałości są dla was przygotowane, w pokoju, radości i nieskończonej miłości. Teraz przejdę obok każdego z was, aby udzielić wam mojego świętego błogosławieństwa w imię Ojca, w imię moje i Ducha Świętego, Amen Twój Jezus ",January
2019,1,12,Holy Mary,"Figli cari, grazie per essere qui nella preghiera. Amati figli miei, quanto è importante la famiglia per Dio, è l'inizio della piccola chiesa, quindi vi chiedo di fare cenacoli di preghiera dentro le case, insegnate ai vostri bambini le preghiere e l'importanza di esse. Voi adulti, prendete forza con l'Eucarestia affinché possiate affrontare meglio ciò che arriverà. Vi amo, ed è con Amore Materno che vi benedico, nel nome del Padre, del Figlio e dello Spirito Santo, Amen”.","Dear children, thank you for being here in prayer. My beloved children, how important the family is for God, it is the beginning of the little church, so I ask you to do cenacles of prayer inside the houses, teach your children the prayers and the importance of them. You adults, take strength with the Eucharist so that you can better face what is to come. I love you, and it is with Maternal Love that I bless you, in the name of the Father, of the Son and of the Holy Spirit, Amen ”. ","Drogie dzieci, dziękuję wam, że jesteście tu na modlitwie. Moje umiłowane dzieci, jak ważna jest dla Boga rodzina, to początek małego kościoła, więc proszę was, abyście odprawiali wieczerniki modlitwy w domach, uczcie wasze dzieci modlitwy i ich ważności. Wy dorośli, czerpcie siły z Eucharystii, abyście mogli lepiej stawić czoła temu, co ma nadejść. Kocham was i z matczyną miłością miłością błogosławię was w imię Ojca, Syna i Ducha Świętego, Amen ",January
2019,1,15,Jesus Christ,"Amati miei, quante sofferenze e quante sono le tribolazioni che dovrete affrontare, ma con tutto l'amore che mi preme, Vi dico, che io vi sono e vi sarò sempre accanto. Fratelli, spesso sono con voi e con l'umanità intera, spesso parlo nei cuori, ma non mi ascoltano, difficilmente qualcuno si ferma a chiedermi qualcosa seriAmente, eppure quanto desidererei ascoltare ed aiutare tutti. Affidatevi a me completAmente, ed io vi porterò verso la pace, vi consiglierò e farò le grazie chieste. Io sono qui, Vi chiedo e desidero che mi riconosciate. Aprite i vostri cuori e tornate a me tutto sarebbe più semplice. Vi lascio sotto la protezione della mia Santissima Madre, Vi Amo. Il vostro Caro Gesù”.","My beloved, how many sufferings and how many tribulations you will have to face, but with all the love that I am concerned with, I tell you, that I am with you and I will always be close to you. Brothers, I am often with you and with the whole of humanity, I often speak in hearts, but they do not listen to me, hardly anyone stops to ask me something seriously, yet how much I would like to listen and help everyone. Entrust yourself completely to me, and I will lead you towards peace, I will advise you and I will give the requested graces. I am here, I ask you and I want you to recognize me. Open your hearts and return to me everything would be simpler. I leave you under the protection of my Most Holy Mother, I love you. Your Dear Jesus ”. ","Moi umiłowani, ilu cierpieniom i udrękom będziecie musieli stawić czoła, ale z całą miłością, na której mi zależy, mówię wam, że jestem z wami i zawsze będę blisko was. Bracia, często jestem z wami i z całą ludzkością, często mówię sercem, ale mnie nie słuchają, prawie nikt nie zatrzymuje się, żeby mnie o coś poważnie zapytać, ale jak bardzo chciałbym wysłuchać i pomóc każdemu. Powierz mi się całkowicie, a poprowadzę cię do pokoju, doradzę ci i udzielę potrzebnych łask. Jestem tutaj, proszę cię żebyś mnie rozpoznał. Otwórzcie swoje serca i wróćcie do mnie, wszystko byłoby prostsze. Zostawiam was pod opieką mojej Najświętszej Matki, kocham was. Wasz Drogi Jezus . ",January
2019,1,19,Holy Mary,"Figli Amati, grazie per aver risposto alla mia chiamata nel vostro cuore. Figli miei, quanto amore sento nei vostri cuori, siate apostoli e fratelli, testimoniate la fede ovunque. Figli miei dolcissimi, le preghiere hanno mitigato ciò che arriverà, ma continuate a pregare, non stancatevi mai, perché vedrete accadere cose inimmaginabili che razionalmente non riuscirete a comprendere. Figli, portate i vostri fratelli sulla strada dell'amore per mio figlio Gesù. Ora, vi benedico nel nome del Padre e del Figlio e dello Spirito Santo, Amen”. Figlia adorata resterò a pregare con voi.","Beloved children, thank you for having responded to my call in your heart. My children, how much love I feel in your hearts, be apostles and brothers, bear witness to the faith everywhere. My sweetest children, prayers have mitigated what is to come, but keep on praying, never get tired, because you will see unimaginable things happening that you will not rationally be able to understand. Children, lead your brothers on the path of love for my Son Jesus. Now, I bless you in the name of the Father and of the Son and of the Holy Spirit, Amen ”. Adored daughter, I will stay to pray with you. ","Kochane dzieci, dziękuję wam, że odpowiedzieliście na moje wezwanie w waszych sercach. Moje dzieci, ile miłości czuję w waszych sercach, bądźcie apostołami i braćmi, wszędzie dawajcie świadectwo wierze. Moje najsłodsze dzieci, modlitwy złagodziły to, co ma nadejść, ale módlcie się dalej, nigdy nie męczcie się, ponieważ zobaczycie rzeczy niewyobrażalne, których nie będziecie w stanie zrozumieć racjonalnie. Dzieci, prowadźcie waszych braci drogą miłości do mojego Syna Jezusa, a teraz błogosławię was w imię Ojca i Syna i Ducha Świętego, Amen Ukochana córko, zostanę by się z tobą modlić. ",January
2019,1,22,Holy Mary,"Amati miei, grazie per essere qui nella preghiera. In tutto questo tempo sono stata con voi per proteggervi dai demoni, indicandovi la strada giusta per arrivare a mio Figlio Gesù. Vi ho chiesto di avvicinarvi ai sacrAmenti, per prepararvi a questi tempi finali. Figli miei, non fatevi tentare! Quanto soffro quando guardo i miei figli perdersi, vi prego continuate nella incessante preghiera, sono vostra Madre e sono qui con voi e per voi. Ora, vi lascio nella pace e nella mia Santa benedizione nel nome del Padre, del Figlio e dello Spirito Santo, Amen”.","My beloved, thank you for being here in prayer. All this time I have been with you to protect you from demons, showing you the right way to reach my Son Jesus. I have asked you to approach the sacraments, to prepare yourselves for these final times. My children, do not be tempted! How much I suffer when I watch my children get lost, please continue in incessant prayer, I am your Mother and I am here with you and for you. Now, I leave you in peace and my Holy blessing in the name of the Father, the Son and the Holy Spirit, Amen ”. ","Moi umiłowani, dziękuję wam, że jesteście tu na modlitwie. Przez cały ten czas byłam z wami, aby was chronić przed demonami, wskazując wam właściwą drogę do mojego Syna Jezusa, prosiłam, abyście przystąpili do sakramentów, abyście przygotowali się na te ostateczne czasy. Moje dzieci, nie dajcie się skusić! Jak bardzo cierpię, kiedy patrzę, jak moje dzieci gubią się, proszę, kontynuujcie nieustanną modlitwę, jestem waszą Matką i jestem tutaj z wami i dla was. Teraz zostawiam was w pokoju i moim świętym błogosławieństwie w imię Ojca, Syna i Ducha Świętego, Amen ",January
2019,1,26,Holy Mary,"Amati figli miei, grazie per aver ascoltato la mia chiamata nel vostro cuore. Figli prediletti, vi chiedo e insisto per la conversione dei vostri cuori, amate mio Figlio Gesù, rafforzatevi con l'Eucarestia. Sono triste per i tempi duri verso i quali state andando incontro, non c'è la pace, tutti sono l'uno contro l'altro perché nei cuori non c’è più Dio. Restate sempre uniti, occupatevi dei più deboli e grandi saranno le vostre ricompense. Adorati miei, portate la mia pace nelle vostre case, dove desidero ci siano cenacoli di preghiere. Pregate per la Russia. Questa sera scenderanno tante grazie. Ora, vi benedico nel nome del Padre e del Figlio e dello Spirito Santo, Amen”.","My beloved children, thank you for listening to my call in your heart. Beloved children, I ask and insist on the conversion of your hearts, love my Son Jesus, strengthen yourselves with the Eucharist. I am sad for the hard times you are going towards, there is no peace, everyone is against each other because in the hearts there is no longer God. Always remain united, take care of the weakest and greatest will be your rewards. My beloved ones, bring my peace to your homes, where I want there to be cenacles of prayers. Pray for Russia. Many graces will come down tonight. Now, I bless you in the name of the Father and of the Son and of the Holy Spirit, Amen ”. ","Moje ukochane dzieci, dziękuję za wysłuchanie mego wezwania w swoich sercach. Kochane dzieci, proszę i nalegam na nawrócenie waszych serc, kochajcie mojego Syna Jezusa, umacniajcie się Eucharystią. Jest mi przykro z powodu ciężkich czasów, w które zmierzasz, nie ma pokoju, wszyscy są przeciwko sobie, bo nie ma już Boga w sercach. Zawsze bądźcie zjednoczeni, troszczcie się o najsłabszych a wielkie będą wasze nagrody. Moi umiłowani, zanieście mój pokój do swoich domów, w których chcę, aby były wieczerniki modlitwy. Módlcie się za Rosję. Wiele łask spadnie dziś wieczorem. Teraz błogosławię was w imię Ojca i Syna i Ducha Świętego, Amen ",January
2019,1,29,Holy Mary,"Figli miei, grazie per aver risposto alla mia chiamata nel vostro cuore. Perché non vedo molti dei miei figli? Da cosa sono distratti! Figli miei amati, vi meravigliate quando dico che accadranno cose incomprensibili, ricordate che tutto ciò che ho predetto accadrà in questo tempo, quindi, vi chiedo di prepararvi agli eventi che arriveranno, preparatevi con la preghiera e con i sacrifici, non temete, perché gli angeli che sono sulla terra vi proteggeranno, sono molti mandati dal cielo. Siate testimoni. Figli miei, non abbiate paura, pregate per la Chiesa divisa e quasi disgregata. Amatevi sempre gli uni con gli altri, diffondete pace e non zizzania. Vi invito ancora alla conversione, vi proteggerò sempre come Madre. Ricordate, che siete nel mondo, ma non siete del mondo. Ora, vi benedico nel nome del Padre e del Figlio e dello Spirito Santo, Amen”.","My children, thank you for having responded to my call in your heart. Why don't I see many of my children? What are they distracted from! My beloved children, you marvel when I say that incomprehensible things will happen, remember that all that I have predicted will happen at this time, therefore, I ask you to prepare yourselves for the events that will arrive, prepare yourselves with prayer and sacrifices, do not fear, because angels who are on earth will protect you, they are many sent from heaven. Be witnesses. My children, do not be afraid, pray for the divided and almost disintegrated Church. Always love one another, spread peace and not tares. I call you again to conversion, I will always protect you as a Mother. Remember, you are in the world, but you are not of the world. Now, I bless you in the name of the Father and of the Son and of the Holy Spirit, Amen ”. ","Moje dzieci, dziękuję wam, że odpowiedzieliście na moje wezwanie w waszych sercach. Dlaczego nie widzę wielu moich dzieci? Od czego się odwracają! Moje ukochane dzieci, dziwicie się, gdy mówię, że wydarzą się niezrozumiałe rzeczy, pamiętajcie, że wszystko, co przewidziałam, wydarzy się w tym czasie, dlatego proszę was, abyście przygotowali się na nadchodzące wydarzenia, przygotowali się modlitwą i ofiarami, nie bójcie się, ponieważ aniołowie, którzy są na ziemi, ochronią cię, jest ich wielu posłanych z nieba. Bądźcie świadkami. Moje dzieci, nie lękajcie się, módlcie się za podzielony i prawie zdezintegrowany Kościół. Zawsze kochajcie się wzajemnie, szerzcie pokój, a nie niezgodę. Ponownie wzywam was do nawrócenia, zawsze będę was chronić jako Matka. Pamiętaj, że jesteś na świecie, ale nie jesteś ze świata. Teraz błogosławię was w imię Ojca i Syna i Ducha Świętego, Amen ",January
2019,2,02,Holy Mary,"Amati figli, grazie per aver risposto alla mia chiamata nel vostro cuore. Amati miei, quanta umiltà e quanto amore per Dio, vedo in molti di questi figli stasera, ma vedo anche tanta confusione nelle vostre menti e nei nostri cuori. Vi chiedo di non ascoltare chi vuole cambiare la Parola, ciò che vi è stato lasciato scritto non è da interpretare, ma soltanto da mettere in pratica, siate sempre fedeli al Vangelo, lì è scritta tutta la verità. Vi amo figli, siate sempre testimoni della fede. Ora, vi benedico nel nome del Padre, del Figlio e dello Spirito Santo, Amen”.","Beloved children, thank you for having responded to my call in your heart. My beloved, how much humility and how much love for God, I see in many of these children tonight, but I also see so much confusion in your minds and in our hearts. I ask you not to listen to those who want to change the Word, what has been left written is not to be interpreted, but only to be put into practice, always be faithful to the Gospel, all the truth is written there. I love you children, be always witnesses of the faith. Now, I bless you in the name of the Father, the Son and the Holy Spirit, Amen ”. ","Kochane dzieci, dziękuję wam, że odpowiedzieliście na moje wezwanie w waszych sercach. Moi umiłowani, ile pokory i miłości do Boga widzę dziś wieczorem w wielu z tych dzieci, ale widzę też tyle zamieszania w waszych umysłach i sercach. Proszę was, abyście nie słuchali tych, którzy chcą zmienić Słowo, to, co zostało napisane, nie jest po to, aby interpretować, ale tylko po to, aby wcielić w życie, zawsze bądźcie wierni Ewangelii, cała prawda jest tam zapisana. Kocham was dzieci, zawsze bądźcie świadkami wiary. Teraz błogosławię was w imię Ojca, Syna i Ducha Świętego, Amen ",February
