year,month,day,author,text,text_en,text_pl,month_string
2017,1,3,Holy Mary,"Cari Figli, grazie per aver risposto alla mia chiamata nel vostro cuore . Figli miei, Io mi dispiaccio molto per i vostri dolori e le vostre tribolazioni, ma chiedetevi, mio Figlio cosa aveva fatto di cosi male ?So, che sarete anche voi perseguitati nel nome di mio Figlio, ma voi avete me, vostra madre che vi stara’ vicino tutti i giorni in attesa della venuta di mio Figlio, per portarvi finalmente Pace e Amore in questa terra ormai dilaniata dal male . Molti sacerdoti Santi, invierò in questo luogo ed Io benedico, voi e loro, nel nome del Padre del Figlio e dello Spirito Santo. Amen. Il segno di oggi : ''IO SONO CON VOI ""","Dear children, thank you for having responded to my call in your heart. My children, I am very sorry for your pains and tribulations, but ask yourselves, what did my Son do that was so bad? I know that you too will be persecuted in the name of my Son, but you have me, your mother who he will be close every day waiting for the coming of my Son, to finally bring you Peace and Love in this land now torn by evil. Many Holy priests, I will send to this place and I bless, you and them, in the name of the Father of the Son and of the Holy Spirit. Amen. Today's sign: ""I AM WITH YOU"" ","Drogie dzieci, dziękuję, że odpowiedzieliście na moje wezwanie w waszych sercach. Moje dzieci, bardzo mi przykro z powodu waszych cierpień i udręk, ale zadajcie sobie pytanie, czym zawinił mój Syn? Wiem, że wy także będziecie prześladowani w imię mojego Syna, ale macie Mnie, waszą Matkę, która będzie blisko każdego dnia, czekając na przyjście Mojego Syna, aby w końcu przynieść wam Pokój i Miłość na tej ziemi, teraz rozdartej przez zło. Wielu świętych kapłanów poślę na to miejsce i błogosławię was i ich w imię  Ojca i Syna i Ducha Świętego. Amen. Dzisiejszy znak: „JESTEM Z Wami” ",January
2017,1,7,Holy Mary,"Cari figli, grazie per essere qui riuniti, non siate lontani dalla preghiera e non fatevi prendere dalla stanchezza a causa di coloro che seguono l'effimero e sono lontani da Dio, inginocchiatevi. Figli miei, accettate la misericordia di mio Figlio e tenete lontano l'orgoglio. Figli amati, pregate per il sud italia che sarà dilaniata dal dolore, pregate per la terra che tremerà incessantemente . Pregate per la Francia e per la Spagna dove il terrorismo non darà tregua. Figli miei, Io vi amo e Vi proteggo, aprite il vostro cuore e scoprirete meraviglie. Adesso vi benedico nel nome del Padre del Figlio e dello Spirito Santo, Amen .","Dear children, thank you for being gathered here, do not be far from prayer and do not get tired because of those who follow the ephemeral and are far from God, kneel. My children, accept the mercy of my Son and keep pride at bay. Beloved children, pray for southern Italy which will be torn apart by pain, pray for the earth which will tremble incessantly. Pray for France and Spain where terrorism will give no respite. My children, I love you and I protect you, open your heart and you will discover wonders. Now I bless you in the name of the Father of the Son and of the Holy Spirit, Amen. ","Drogie dzieci, dziękuję wam za to, że się tu zgromadziliście, nie oddalajcie się od modlitwy i nie męczcie się z powodu tych, którzy idą za tym, co ulotne i oddalili się od Boga, uklęknijcie. Moje dzieci, przyjmijcie miłosierdzie mojego Syna i powstrzymajcie dumę. Umiłowane dzieci, módlcie się za południowe Włochy, które zostaną rozdarte bólem, módlcie się za ziemię, która będzie nieustannie drżeć. Módlcie się za Francję i Hiszpanię, gdzie terroryzm nie da wytchnienia. Moje dzieci, kocham was i chronię, otwórzcie wasze serca, a odkryjecie cuda. Teraz błogosławię was w imię  Ojca i Syna i Ducha Świętego, Amen. ",January
2017,1,10,Holy Mary,"Cari Figli, grazie per essere qui e per aver risposto alla mia chiamata nel vostro cuore. Figli miei, le vostre preghiere hanno salvato molte anime, quindi continuate costantemente con la preghiera e con la recita del Santo Rosario. Non date a satana la possibilità di entrare nella vostra mente e nel vostro cuore, seguite mio Figlio che è l'unica verità. Devota figlia, mi rende felice sapere che molti consacrati sono qui, devi dire loro di portare il mio abbraccio alle loro consorelle e ai loro confratelli, prego in particolare la Santissima Trinità per la loro conversione, perche' sono per me, Figli prediletti! Adesso vi dò la mia Benedizione nel nome del Padre, del Figlio e dello Spirito Santo. Amen","Dear children, thank you for being here and for having responded to my call in your heart. My children, your prayers have saved many souls, so continue constantly with prayer and with the recitation of the Holy Rosary. Do not give Satan the possibility to enter your mind and your heart, follow my Son who is the only truth. Devout daughter, it makes me happy to know that many consecrated persons are here, you must tell them to take my embrace to their sisters and their brothers, I pray in particular to the Holy Trinity for their conversion, because they are for me, beloved children! Now I give you my Blessing in the name of the Father, the Son and the Holy Spirit. Amen ","Drogie dzieci, dziękuję wam, że jesteście tutaj i odpowiedzieliście na moje wezwanie w waszych sercach. Moje dzieci, wasze modlitwy uratowały wiele dusz, więc kontynuujcie nieustannie modlitwę i odmawianie Różańca Świętego. Nie dajcie szatanowi możliwości wkroczenia do waszego umysłu i serca, idźcie za moim Synem, który jest jedyną prawdą. Pobożna córko, cieszę się, że jest tu wielu konsekrowanych, musisz im powiedzieć, żeby nieśli móje orędzie swoim siostrom i braciomi, modlę się szczególnie do Trójcy Świętej o ich nawrócenie, ponieważ są moimi umiłowanymi dziećmi! Teraz daję wam moje błogosławieństwo w imię  Ojca i Syna i Ducha Świętego. Amen ",January
2017,1,14,Holy Mary,"Cari Figli, grazie per aver sentito la mia chiamata nei vostri cuori e grazie alle nuove persone che si sono avvicinate alla fede. Il tempo della venuta di mio Figlio è imminente. Oggi vi benedico in maniera molto speciale (ci ha unti uno alla volta) affinché voi possiate sentire nel vostro cuore che io sono qui, che sono presente e che non vi abbandonerò mai. Amati Figli, purtroppo il tempo delle tribolazioni e' già iniziato, ma io non vi abbandonerò mai! Aprite i vostri cuori e pregate, pregate, pregate. Vi prego, non pensate solo alla carriera o ad essere qualcuno nella vita, perché voi siete già molto importanti per Dio e questa è l unica cosa che conti davvero. Ricordate miei piccoli, ognuno di voi è unico e speciale per Dio quindi non allontanatelo ma dite il vostro SI ogni giorno e sopratutto leggete le sacre scritture. Pregate per l'Italia, per l'europa e per il mondo, andranno incontro a tante tribolazioni. Siate pronti alla grande luce. Vi benedico nel nome del Padre, del Figlio e dello Spirito Santo. Amen","Dear children, thank you for hearing my call in your hearts and thanks to the new people who have come to the faith. The time of my Son's coming is imminent. Today I bless you in a very special way (he anointed us one at a time) so that you can feel in your heart that I am here, that I am present and that I will never abandon you. Beloved children, unfortunately the time of tribulations has already begun, but I will never abandon you! Open your hearts and pray, pray, pray. Please don't just think about career or being someone in life, because you are already very important to God and that is the only thing that really matters. Remember my little ones, each of you is unique and special for God so do not turn him away but say your YES every day and above all read the sacred scriptures. Pray for Italy, for Europe and for the world, they will face many tribulations. Be ready for the great light. I bless you in the name of the Father, the Son and the Holy Spirit. Amen ","Drogie dzieci, dziękuję wam, że usłyszeliście w swoich sercach moje wezwanie i dziękuję nowym ludziom, którzy odnaleźli wiarę. Czas przyjścia Mojego Syna jest bliski. Dzisiaj błogosławię was w bardzo szczególny sposób (naznaczyła nas pojedynczo), abyście mogli poczuć w swoim sercu, że jestem tutaj, że jestem obecna i nigdy was nie opuszczę. Umiłowane dzieci, niestety czas udręk już się rozpoczął, ale nigdy was nie opuszczę! Otwórzcie swoje serca i módlcie się, módlcie się, módlcie się. Proszę, nie myśl tylko o karierze lub byciu kimś w życiu, ponieważ już jesteś bardzo ważny dla Boga i to jest jedyna rzecz, która naprawdę się liczy. Pamiętajcie, moje maleństwa, każdy z was jest wyjątkowy dla Boga, więc nie odwracajcie się od Niego, ale codziennie mówcie TAK, a przede wszystkim czytajcie Pismo Święte. Módlcie się za Włochy, za Europę i za świat, który będzie musiał stawić czoła wielu udrękom. Przygotuj się na wielkie światło. Błogosławię was w imię  Ojca i Syna i Ducha Świętego. Amen ",January
2017,1,17,Holy Mary,"Amati figli, grazie per esservi riuniti qui anche stasera. Pregate molto per la Chiesa e per i figli consacrati. Presto la Chiesa di Pietro verra' distrutta da coloro che sono in avvicinamento. Figlia cara, desidero che tu parli con i sacerdoti santi, chiedendogli di insegnare ai bambini il vero catechismo, di insegnare che il Demonio esiste e di spiegare chi è davvero questo astuto angelo dell' inferno. Ormai il protestantesimo sta incalzando nella Chiesa e molti non credono più che nell'Eucaristia c'e' mio Figlio vivo. A breve non riconosceranno neanche me come la Vergine Immacolata concepita senza peccato. Amata figlia, quanti patiranno per questi peccati. Quanti prelati, cardinali e vescovi stanno prendendo la via della perdizione! Aiutali a capire che mio Figlio ed il Vangelo, sono l'unica verità e vita. Presto sarete costretti a tornare a pregare nelle vostre case. Aggrappatevi alla recita quotidiana del Santo Rosario, che è l'unico scudo che vi proteggera' dal male. Io sarò sempre accanto a voi tutte le volte che invocherete il mio nome. Ora vi benedico nel nome del Padre del Figlio e dello Spirito Santo. Amen","Beloved children, thank you for gathering here again tonight. Pray a lot for the Church and for consecrated children. Soon the Church of Peter will be destroyed by those who are approaching. Dear daughter, I want you to talk to the holy priests, asking them to teach children the true catechism, to teach that the Devil exists and to explain who this crafty angel of hell really is. By now Protestantism is pressing in the Church and many no longer believe that my living Son is in the Eucharist. Soon they won't even recognize me as the Immaculate Virgin conceived without sin. Beloved daughter, how many will suffer for these sins. How many prelates, cardinals and bishops are taking the path of perdition! Help them understand that my Son and the Gospel are the only truth and life. You will soon be forced to return to pray in your homes. Cling to the daily recitation of the Holy Rosary, which is the only shield that will protect you from evil. I will always be next to you whenever you invoke my name. Now I bless you in the name of the Father of the Son and of the Holy Spirit. Amen ","Umiłowane dzieci, dziękuje wam za ponowne spotkanie tu dziś wieczorem. Módlcie się dużo za Kościół i dzieci konsekrowane. Wkrótce Kościół Piotra zostanie zniszczony przez tych, którzy nadchodzą. Droga córko, chcę, żebyś porozmawiała ze świętymi kapłanami, prosząc ich, aby nauczyli dzieci prawdziwego katechizmu, nauczali, że Diabeł istnieje, i wyjaśnili, kim naprawdę jest ten przebiegły anioł piekieł. Obecnie protestantyzm naciska na Kościół i wielu nie wierzy już, że mój Syn żyje w Eucharystii. Wkrótce nawet nie rozpoznają mnie jako Niepokalanej Dziewicy poczętej bez grzechu. Umiłowana córko, ilu będzie cierpieć za te grzechy. Ilu prałatów, kardynałów i biskupów idzie ścieżką zatracenia! Pomóż im zrozumieć, że mój Syn i Ewangelia są jedyną prawdą i życiem. Wkrótce będziecie zmuszeni powrócić do modlitwy w swoich domach. Trzymaj się codziennego odmawiania Różańca Świętego, który jest jedyną tarczą chroniącą przed złem. Zawsze będę obok ciebie, ilekroć zawołasz moje imię. Teraz błogosławię was w imię  Ojca i Syna i Ducha Świętego. Amen ",January
2017,1,21,Holy Mary,"Cari figli, grazie per aver sentito la mia chiamata nel vostro cuore. Piccoli miei, io piango per voi e per tutto cio che vedrete, non piangete i morti, loro vedono già la grande luce. State vivendo i tempi della purificazione. Amati figli, pregate per la Chiesa. Pregate per l italia, dove ci saranno ancora forti terremoti e anche i mari si agiteranno, ma voi non abbiate paura seguite il Santo Vangelo e pregate in comunione il Santo Rosario. Vi benedico nel nome del Padre del Figlio e dello Spirito Santo. Amen","Dear children, thank you for hearing my call in your heart. My little ones, I cry for you and for all that you will see, do not cry for the dead, they already see the great light. You are living in the times of purification. Beloved children, pray for the Church. Pray for Italy, where there will still be strong earthquakes and even the seas will shake, but do not be afraid, follow the Holy Gospel and pray the Holy Rosary in communion. I bless you in the name of the Father of the Son and of the Holy Spirit. Amen ","Drogie dzieci, dziękuję wam, że usłyszeliście moje wezwanie w swoich sercach. Moje maleństwa, płaczę nad wami i nad wszystkim, co zobaczycie. Nie płaczcie za zmarłymi, oni już widzą wielkie światło. Żyjecie w czasach oczyszczenia. Umiłowane dzieci, módlcie się za Kościół. Módlcie się za Włochy, gdzie nadal będą silne trzęsienia ziemi, a nawet morza będą się poruszać, ale nie lękajcie się, postępujcie zgodnie ze Świętą Ewangelią i odmawiajcie wspólnie Różaniec Święty. Błogosławię was w imię  Ojca i Syna i Ducha Świętego. Amen ",January
2017,1,24,Holy Mary,"Amati figli, grazie per aver risposto alla mia chiamata nel vostro cuore, sopratutto mi riferisco alle nuove persone che sono qui riunite nella preghiera. Pregate, figli miei, pregate perché Satana non vi darà tregua dividendo voi e la Chiesa, ma voi persone di fede non cadete in questo tranello, siate giusti e testimoniate con coraggio. Amatevi, così come Dio vi ama. Cari figli, guardate cosa sta accadendo intorno a voi, terremoti, maremoti e valanghe, siamo alla fine dei tempi, quindi non perdete tempo, convertitevi. Io vi amo, non abbiate paura, vi proteggerò sempre. Pregate per la pace del mondo, una guerra si sta preparando dove sarà coinvolta la Russia la Cina e gli Stati Uniti. Ora, vi Benedico nel Nome del Padre del Figlio e dello Spirito Santo. Amen","Beloved children, thank you for having responded to my call in your heart, above all I am referring to the new people who are gathered here in prayer. Pray, my children, pray because Satan will not give you truce by dividing you and the Church, but you people of faith do not fall into this trap, be just and bear witness with courage. Love each other as God loves you. Dear children, look at what is happening around you, earthquakes, tsunamis and avalanches, we are at the end of time, so do not waste time, convert. I love you, do not be afraid, I will always protect you. Pray for world peace, a war is brewing where Russia, China and the United States will be involved. Now, I bless you in the Name of the Father of the Son and of the Holy Spirit. Amen ","Umiłowane dzieci, dziękuję wam, że odpowiedzieliście na moje wezwanie w waszych sercach, zwłaszcza nowym osobom, które gromadzą się tutaj na modlitwie. Módlcie się, moje dzieci, módlcie się, ponieważ szatan nie da wam spokoju, dzieląc was i Kościół, ale wy, ludzie wiary, nie wpadacie w tę pułapkę, bądźcie sprawiedliwi i dawajcie świadectwo z odwagą. Kochajcie się tak, jak kocha was Bóg. Drogie dzieci, spójrzcie na to, co się wokół was dzieje, trzęsienia ziemi, tsunami i lawiny, jesteśmy u kresu, więc nie traćcie czasu, nawracajcie się. Kocham was, nie bójcie się, zawsze będę was chronić. Módlcie się o pokój na świecie, szykuje się wojna, w którą zangażowane będą Rosja, Chiny i Stany Zjednoczone. Teraz ​​błogosławię was w imię  Ojca i Syna i Ducha Świętego. Amen ",January
2017,1,26,Holy Mary,"Cari figli, grazie per essere qui, finalmente uniti in preghiera, con la gioia e la purezza nel vostro cuore. Amati figli, siete sempre i miei piccoli! Cosi vi vedo, soprattutto stasera. Vedrete presto mio Figlio, per riunirvi tutti nell'unico amore che Dio conosce. Purtroppo sarete perseguitati e poi glorificati, ma io sono con voi come madre e come Regina dei cieli. Non preoccupatevi se vedrete dei segni nel cielo, e' solo mio Figlio che sta preparando la sua venuta! L'orgoglio e la superbia sono le cose che stanno rovinato il mondo. Ora vi benedico nel nome del Padre, del Figlio e dello Spirito Santo. Amen La Madonna ha benedetto i presenti, uno per uno","Dear children, thank you for being here, finally united in prayer, with joy and purity in your heart. Beloved children, you are always my little ones! So I see you, especially tonight. You will soon see my Son, to reunite all of you in the one love that God knows. Unfortunately you will be persecuted and then glorified, but I am with you as a mother and as the Queen of heaven. Don't worry if you see signs in the sky, it is only my Son who is preparing his coming! Pride and haughtiness are the things that are ruining the world. Now I bless you in the name of the Father, the Son and the Holy Spirit. Amen Our Lady blessed those present, one by one ","Drogie dzieci, dziękuję wam, że tu jesteście, w końcu zjednoczeni w modlitwie, z radością i czystością w sercu. Umiłowane dzieci, zawsze jesteście moimi maleństwami! Tak was widzę, szczególnie dzisiaj. Wkrótce ujrzycie mojego Syna, który zjednoczy was wszystkich w jedynej miłości, jaką zna Bóg. Niestety, będziesz prześladowana, a potem uwielbiona, ale jestem z tobą jako matka i Królowa Nieba. Nie martw się, jeśli widzisz znaki na niebie, bo to mój Syn, który przygotowuje swoje przyjście! Duma i wyniosłość to rzeczy, które rujnują świat. Teraz błogosławię was w imię  Ojca i Syna i Ducha Świętego. Amen. Następnie Matka Boża pobłogosławiła każdego z obecnych. ",January
2017,1,28,Holy Mary,"Amata figlia, la tua tribolazione continuerà, mio Figlio fu accusato di essere un eretico ma lui continuava a predicare senza fermarsi. Tu devi andare avanti senza paura, devi sempre dare la tua testimonianza con forza e coraggio, io ti proteggerò. Accogli le anime tiepide e aiutale ad amare mio Figlio e ad avvicinarsi alla preghiera . Figli miei, ormai il tempo è vicino, presto mio Figlio Gesù sarà con voi ad abbracciarvi amorevolmente ed a giudicarvi uno per uno. Ora vi dò la mia benedizione nel nome del Padre del Figlio e dello Spirito Santo. Amen","Beloved daughter, your tribulation will continue, my Son was accused of being a heretic but he continued to preach without stopping. You must go on without fear, you must always give your testimony with strength and courage, I will protect you. Welcome lukewarm souls and help them to love my Son and to approach prayer. My children, now the time is near, soon my Son Jesus will be with you to embrace you lovingly and to judge you one by one. Now I give you my blessing in the name of the Father of the Son and of the Holy Spirit. Amen ","Umiłowana córko, twój ucisk będzie trwał nadal, mój Syn został oskarżony o bycie heretykiem, ale on nadal głosił bez przerwy. Musisz iść bez lęku, zawsze musisz dawać swoje świadectwo z siłą i odwagą, będę cię chronić. Przyjmujcie letnie dusze i pomóżcie im kochać Mojego Syna i przystępować do modlitwy. Moje dzieci, teraz czas jest blisko, wkrótce mój Syn Jezus będzie z wami, aby was wszystkich objąć miłością i osądzić. Teraz daję wam moje błogosławieństwo w imię  Ojca i Syna i Ducha Świętego. Amen ",January
2017,2,3,Holy Mary,"Amati figli, grazie per aver ascoltato la mia chiamata. Grazie per essere arrivati qui in questo luogo benedetto con tanta fede. Lasciate le vostre sofferenze e le vostre lacrime sotto questa croce e avrete meraviglie. Figli miei, questo e' il tempo dell'apostasia. Mio Figlio continua ad essere flagellato come allora. Amati piccoli, convertitevi perché il ritorno di mio Figlio e' imminente e vorrei che tutti siate pronti per quel momento. Abbiate fede, questa vi salverà. Vi amo sempre e vi benedico nel nome del Padre, del Figlio e dello Spirito Santo, Amen. La Vergine Santa chiede anche di pregare per il Santo Padre e per tutti i Sacerdoti.","Beloved children, thank you for listening to my call. Thank you for coming here to this blessed place with so much faith. Leave your sufferings and your tears under this cross and you will have wonders. My children, this is the time of apostasy. My Son continues to be scourged as he was then. Beloved little ones, be converted because the return of my Son is imminent and I would like you all to be ready for that moment. Have faith, this will save you. I always love you and bless you in the name of the Father, the Son and the Holy Spirit, Amen. The Holy Virgin also asks to pray for the Holy Father and for all the Priests. ","Kochane dzieci, dziękuję wam za wysłuchanie mojego wezwania. Dziękuję za przybycie do tego błogosławionego miejsca z tak wielką wiarą. Zostaw swoje cierpienia i łzy pod tym krzyżem, a doświadczysz cudów. Moje dzieci, to jest czas odstępstwa. Mój Syn nadal jest biczowany, tak jak wtedy. Umiłowane maleństwa, nawróćcie się, ponieważ powrót mojego Syna jest bliski i chciałabym, abyście wszyscy byli gotowi na tę chwilę. Miej wiarę, to cię uratuje. Zawsze cię kocham i błogosławię w imię  Ojca i Syna i Ducha Świętego, Amen. Święta Dziewica prosi także o modlitwę za Ojca Świętego i wszystkich Kapłanów. ",February
