year,month,day,author,text,text_en,text_pl,month_string
2020,1,3,Holy Mary,"Amatissimi figli miei, grazie per aver risposto alla mia chiamata nel vostro cuore. Figli amorevoli, in questo tempo, il mondo è in un grande tumulto, ancora come Madre vi chiedo, convertitevi, non avete più molto tempo. Figli cari, perché credete al Dio creato da voi stessi! Cristo è venuto per voi ed è morto per voi. Figli, pregate per la pace nel mondo e tra voi fratelli, pregate per la Chiesa che sta andando al completo declino. Siate guerrieri coraggiosi e proteggete questa Fede in Dio uno e Trino. Ora vi benedico nel nome del Padre, del Figlio e dello Spirito Santo, Amen.","My beloved children, thank you for having responded to my call in your hearts. Loving children, in this time, the world is in great turmoil, again as a Mother I ask you, convert, you do not have much time left. Dear children, why do you believe in the God created by yourselves! Christ came for you and died for you. My children, pray for peace in the world and among your brothers, pray for the Church which is going to complete decline. Be brave warriors and protect this Faith in the One and Triune God. Now I bless you in the name of the Father, the Son and the Holy Spirit, Amen.","Moje kochane dzieci, dziękuję wam, że odpowiedzieliście na moje wezwanie w waszych sercach. Kochane dzieci, w tym czasie, świat jest w wielkim zamieszaniu, jako wasza matka proszę was, nawróćcie się, nie zostało wam wiele czasu. Drogie dzieci, dlaczego wierzycie w Boga stworzonego przez was samych! Chrystus przyszedł dla ciebie i umarł za ciebie. Moje dzieci, módlcie się o pokój na świecie i wśród waszych braci, módlcie się za Kościół, który zmierza do całkowitego upadku. Bądźcie odważnymi wojownikami i chrońcie tę Wiarę w Jedynego i Trójjedynego Boga. A teraz błogosławię was w imię Ojca i Syna i Ducha Świętego, Amen.",January
2020,1,4,Holy Mary,"Cari figli, grazie per aver risposto alla mia chiamata nel vostro cuore. Ieri ero molto felice nel vedervi riuniti nella solenne preghiera e ascoltare le vostre lodi e i vostri canti, siete stati un grande esempio per molti. Figli amati, le parole dette di questa mia figlia, sono parole di Gesù Cristo, è mio Figlio che mette in bocca le Sue parole, non meravigliatevi, perché il suo amore per mio Figlio è infinito e coraggioso. I segni, erano nostra gioia pura. Oggi scenderanno molte grazie su di voi. Pregate per i sacerdoti. Ora vi Benedico nel nome del Padre, del Figlio e dello Spirito Santo, Amen.","Dear children, thank you for having responded to my call in your hearts. Yesterday I was very happy to see you gathered in solemn prayer and to hear your praises and songs, you were a great example for many. Beloved children, the words spoken by this daughter of mine, are words of Jesus Christ, it is my Son who puts His words in her mouth, do not be surprised, for her love for my Son is infinite and courageous. The signs, they were our pure joy. Many graces will descend upon you today. Pray for the priests. Now I bless you in the name of the Father, the Son and the Holy Spirit, Amen.","Drogie dzieci, dziękuję wam, że odpowiedzieliście na moje wezwanie w waszych sercach. Wczoraj byłam bardzo szczęśliwa widząc was zgromadzonych na uroczystej modlitwie i słysząc wasze pochwały i pieśni, byliście wielkim przykładem dla wielu. Umiłowane dzieci, słowa, które wypowiada ta moja córka, są słowami Jezusa Chrystusa, to mój Syn wkłada w jej usta swoje słowa, nie dziwcie się, bo jej miłość do mojego Syna jest bezgraniczna i odważna. Znaki, były naszą czystą radością. Wiele łask zstąpi dziś na was. Módlcie się za kapłanów. Teraz błogosławię was w imię Ojca i Syna i Ducha Świętego, Amen.",January
2020,1,7,Jesus Christ,"Amati fratelli miei, grazie per essere qui nella preghiera. Fratelli miei, voi con le vostre sofferenze continuate a salire la scala della spiritualità, date a me i vostri pesi e vostri dolori, solo cosi potrete avere la gioia e la serenità nei vostri cuori, sarò Io e soltanto Io a trasformare i dolori in gioia. Fratelli, pensate solo alla vita eterna, abbandonatevi totalmente a me, il mio ritorno è imminente. Ora vi Benedico nel nome del Padre, nel Mio nome e dello Spirito Santo, Amen.","My beloved brothers, thank you for being here in prayer. My brothers, with your sufferings, continue to climb the ladder of spirituality, give me your burdens and your pains, only in this way will you be able to have joy and serenity in your hearts, it will be I and only I who will transform pains into joy. Brothers, think only of eternal life, surrender yourselves totally to Me, My Return is imminent. Now I bless you in the name of the Father, in My name and in the Holy Spirit, Amen.","Moi umiłowani bracia, dziękuję wam, że jesteście tutaj na modlitwie. Bracia moi, wy, z waszymi cierpieniami, nadal wspinajcie się po drabinie duchowości, oddajcie mi wasze ciężary i wasze bóle, tylko w ten sposób możecie mieć radość i spokój w waszych sercach, to Ja i tylko Ja przemienię bóle w radość. Bracia, myślcie tylko o życiu wiecznym, oddajcie mi się całkowicie, mój powrót jest bliski. A teraz błogosławię was w imię Ojca, w imię Moje i Ducha Świętego, Amen.",January
2020,1,11,Holy Mary,"Cari figli, grazie per aver accolto il mio appello e aver risposto alla mia chiamata nel vostro cuore. Figli miei, la situazione dell'umanità è difficile, Io vi chiedo, datemi le vostre mani, ed Io vi porterò a Gesù, siate sempre uniti, amatevi come fratelli, affinchè sia una nuova Pentecoste. Figli, il mio cuore continua a sanguinare per le ingiustizie, la terra tremerà forte, il Vaticano sarà pesantemente attaccato, pregate per le potenze mondiali, Cina, America, Russia, pregate, pregate, pregate molto. Figli, le mie lacrime oggi hanno una spiegazione per chi non ha mai voluto comprendere. Ora vi lascio e vi benedico nel nome del Padre, del Figlio e dello Spirito Santo, Amen. Stasera scenderanno Molte grazie su di voi","Dear children, thank you for accepting my call and responding to my call in your hearts. My children, the situation of mankind is difficult, I ask you, give me your hands, and I will bring you to Jesus, always be united, love each other as brothers, so that it may be a new Pentecost. My heart continues to bleed for injustices, the earth will tremble strongly, the Vatican will be heavily attacked, pray for the world powers, China, America, Russia, pray, pray, pray very much. My children, my tears today have an explanation for those who never wanted to understand. Now I leave you and I bless you in the name of the Father, the Son and the Holy Spirit, Amen. Tonight many graces will descend upon you. ","Drogie dzieci, dziękuję wam za to, że przyjęliście moje wezwanie i odpowiedzieliście na nie w waszych sercach. Dzieci moje, sytuacja ludzkości jest trudna, proszę was, podajcie mi swoje ręce, a ja was przyprowadzę do Jezusa, bądźcie zawsze zjednoczeni, kochajcie się wzajemnie jak bracia, aby była to nowa Pięćdziesiątnica. Moje serce nadal krwawi z powodu niesprawiedliwości, ziemia będzie mocno drżeć, Watykan będzie mocno atakowany, módlcie się za światowe mocarstwa, Chiny, Amerykę, Rosję, módlcie się, módlcie się, módlcie się bardzo mocno. Dzieci, moje dzisiejsze łzy mają wyjaśnienie dla tych, którzy nigdy nie chcieli zrozumieć. Teraz zostawiam was i błogosławię was w imię Ojca i Syna, i Ducha Świętego, Amen.  Dziś wieczorem zstąpi na was wiele łask.",January
2020,1,14,Holy Mary,"Amati figli, grazie per aver risposto alla mia chiamata nel vostro cuore. Cari miei piccoli, quanto avete bisogno di essere guidati e quanta confusione si sta seminando! Per avere guida sicura, siate sempre fedeli al Vangelo e alla Parola di Dio, con la preghiera si possono cambiare i cuori, non siate sepolcri imbiancati. Figli amati, Io vi sarò sempre accanto, insieme a mio Figlio Gesù. Pregate per il Papa. Ora vi lascio con la mia Santa Benedizione nel nome del Padre, del Figlio e dello Spirito Santo, Amen.","Beloved children, thank you for responding to my call in your hearts. Dear little ones, how much you need to be guided and how much confusion is being sown! In order to have sure guidance, always be faithful to the Gospel and the Word of God; with prayer, hearts can be changed; do not be whitewashed graves. Beloved children, I will always be close to you, together with my Son Jesus. Pray for the Pope. Now I leave you with my Holy Blessing in the name of the Father, of the Son and of the Holy Spirit, Amen.","Umiłowane dzieci, dziękuję wam, że odpowiedzieliście na moje wezwanie w waszych sercach. Drodzy mali, jak bardzo potrzebujecie być prowadzeni i jak wiele zamieszania jest zasiane! Aby mieć pewne prowadzenie, bądźcie zawsze wierni Ewangelii i Słowu Bożemu. Serca można przemienić modlitwą. Nie bądźcie grobami pobielanymi. Umiłowane dzieci, zawsze będę blisko was, razem z moim Synem Jezusem. Módlcie się za papieża. Teraz zostawiam was z moim Świętym Błogosławieństwem w imię Ojca i Syna i Ducha Świętego, Amen.",January
2020,1,15,Holy Mary,"Figlia mia, sii docile, ma chiara, qualunque parola o scritto della nuova dottrina dovrà farvi dubitare, la verità è chiara, cristallina ed è solo una e per sempre, tutto ciò che è stato rivelato a Fatima, ora si sta concretizzando davanti agli occhi increduli di tutti, ma tanti verranno pervasi da un senso di normalità e di modernità, ecco figlia mia, tutto ciò dovrà essere chiarito per il bene dell'umanità che si sta perdendo. Ti accompagnerò nella preghiera insieme ai tuoi fratelli e vi benedico, nel nome del Padre, del Figlio e dello Spirito Santo, Amen.","My daughter, be docile, but clear, any word or writing of the new doctrine will have to make you doubt, the truth is clear, crystal clear and is only one and forever, all that was revealed at Fatima, is now materializing before the unbelieving eyes of all, but many will be overwhelmed by a sense of normality and modernity, here my daughter, all this must be clarified for the good of humanity that is being lost. I will accompany you in prayer together with your brothers and I bless you, in the name of the Father, the Son and the Holy Spirit, Amen.","Córko moja, bądź potulna, ale jasna, każde słowo czy pismo nowej doktryny będzie musiało wzbudzić w tobie wątpliwości, prawda jest jasna, krystaliczna i jest tylko jedna i na zawsze, to wszystko, co zostało objawione w Fatimie, nabiera teraz kształtów na niedowierzających oczach wszystkich, ale wielu będzie przenikniętych poczuciem normalności i nowoczesności, tu córko moja, to wszystko musi być wyjaśnione dla dobra ludzkości, która się gubi. Będę wam towarzyszyła w modlitwie razem z waszymi braćmi i błogosławię was, w imię Ojca i Syna i Ducha Świętego, Amen.",January
2020,1,18,Holy Mary,"Amati figli, grazie per aver risposto alla mia chiamata nel vostro cuore. Il cielo è gioioso per le vostre preghiere. Figli amati miei, sapete che tutto ciò che ho predetto accadrà, le guerre, i terremoti e cose più terribili arriveranno su questa terra, affinché si possa purificare. Figli miei, voi non abbiate mai paura, perché Io e il Signore saremo insieme a voi per proteggervi. Figli, questi messaggi andranno diffusi nel mondo, affinché molti possano tornare a Dio e convertirsi. Amati miei, pregate per la Chiesa e per i sacerdoti, la confusione regna, Io piango per l'umanità. Ora vi benedico, nel nome del Padre, del Figlio e dello Spirito Santo, Amen.","Beloved children, thank you for responding to my call in your hearts. Heaven is joyful for your prayers. My beloved children, you know that all that I have foretold will happen, wars, earthquakes and more terrible things will come upon this earth so that it may be purified. My children, you must never be afraid, for I and the Lord will be with you to protect you. My children, these messages must be spread throughout the world so that many may return to God and convert. My beloved ones, pray for the Church and for the priests, confusion reigns, I weep for humanity. Now I bless you, in the name of the Father, the Son and the Holy Spirit, Amen.","Umiłowane dzieci, dziękuję wam, że odpowiedzieliście na moje wezwanie w waszych sercach. Niebo jest radosne z powodu waszych modlitw. Moje ukochane dzieci, wiecie, że wszystko, co przepowiedziałam, stanie się, wojny, trzęsienia ziemi i inne straszne rzeczy przyjdą na tę ziemię, aby mogła zostać oczyszczona. Dzieci moje, nigdy nie wolno wam się bać, bo Pan i ja będziemy z wami, aby was chronić. Moje dzieci, te orędzia muszą być rozpowszechniane na całym świecie, aby wielu mogło powrócić do Boga i nawrócić się. Umiłowani moi, módlcie się za Kościół i za kapłanów. Panuje zamęt, płaczę nad ludzkością. Teraz błogosławię was w imię Ojca i Syna i Ducha Świętego, Amen.",January
2020,1,19,Holy Mary,"Figli amati, vi ringrazio per essere qui nella preghiera. Amati miei, siate vicino al cuore di Gesù, affinché anche all'ultimo istante, mio Figlio possa entrare nei vostri cuori. La terra sta per essere ripulita dalla sporcizia che l'uomo ha creato, figli convertitevi è tempo. Ora vi benedico nel nome del Padre, del Figlio e dello Spirito Santo, Amen.","Beloved children, I thank you for being here in prayer. My beloved ones, be close to the heart of Jesus, so that even at the last moment, my Son may enter into your hearts. The earth is about to be cleansed of the filth that man has created, children convert it is time. Now I bless you in the name of the Father, of the Son and of the Holy Spirit, Amen.","Umiłowane dzieci, dziękuję wam, że jesteście tutaj na modlitwie. Moi umiłowani, bądźcie blisko Serca Jezusowego, aby nawet w ostatniej chwili mój Syn mógł wejść do waszych serc. Ziemia ma zostać oczyszczona z brudu, który stworzył człowiek, dzieci, nawróćcie się, nadszedł czas. Teraz błogosławię was w imię Ojca i Syna i Ducha Świętego, Amen.",January
2020,1,25,Holy Mary,"Cari figli, grazie per aver ascoltato la mia chiamata nel vostro cuore. Figli amati, quanti disastri in questa terra piena di peccati, la Fede è qualcosa di meraviglioso, è avvicinarsi sempre di più a Dio, convertitevi figli miei, la Fede non è ecologia, ma è seguire i Comandamenti, il Santo Vangelo, i Sacramenti. Non è la terra che dovete adorare, ma il Figlio di Dio. Tutto ciò che oggi accade sulla Terra, non dipende da Dio, ma dall'uomo stesso che a causa della sua mano, ha rovinato il paradiso che Dio aveva lasciato. Pregate per l'Italia che è entrata in un vortice di paganesimo, pregate, pregate, pregate tanto, affinché la luce di Dio possa entrare nei cuori induriti di molti sacerdoti, amore carità e perdono sono i principi della Cristianità. Ora vi benedico nel nome del Padre, del Figlio e dello Spirito Santo, Amen.","Dear children, thank you for listening to my call in your hearts. Beloved children, how many disasters in this earth full of sins, Faith is something wonderful, it is getting closer and closer to God, convert my children, Faith is not ecology, but it is following the Commandments, the Holy Gospel, the Sacraments. It is not the earth that you must adore, but the Son of God. Everything that happens on Earth today, does not depend on God, but on man himself who, because of his hand, has ruined the paradise that God had left. Pray for Italy that has entered into a vortex of paganism, pray, pray, pray so much, that the light of God may enter the hardened hearts of many priests, love, mercy and forgiveness are the principles of Christianity. Now I bless you in the name of the Father, the Son and the Holy Spirit, Amen.","Drogie dzieci, dziękuję wam, że wsłuchaliście się w moje wołanie w waszych sercach. Ukochane dzieci, ileż nieszczęść na tej ziemi pełnej grzechów, Wiara to coś wspaniałego, to zbliżanie się coraz bardziej do Boga, nawracajcie się moje dzieci, Wiara to nie ekologia, ale to przestrzeganie Przykazań, Ewangelii Świętej, Sakramentów. To nie ziemię należy adorować, ale Syna Bożego. Wszystko, co dzieje się dzisiaj na Ziemi, nie zależy od Boga, ale od samego człowieka, który swoją ręką zrujnował raj, jaki Bóg pozostawił. Módlcie się za Włochy, które wpadły w wir pogaństwa, módlcie się, módlcie się tak bardzo, aby światło Boże dotarło do zatwardziałych serc wielu księży, miłość, miłosierdzie i przebaczenie to fundamenty chrześcijaństwa. Teraz błogosławię was w imię Ojca i Syna i Ducha Świętego, Amen.",January
2020,1,28,Holy Mary,"Amati figli miei, grazie per aver risposto alla mia chiamata nel vostro cuore. Figli cari, tutto ciò che sta accadendo vi causa tristezza nel vostro cuore, ma figli, la purificazione è necessaria. Figli miei, pregate tanto per la Germania e la Francia. Il Vaticano si sta spaccando in due. Figli, ecco la grande prova di Fede, dico come Madre ai miei figli sacerdoti, siate sempre obbedienti alla Chiesa, ma, siate cauti perché quando la Consacrazione dell'Eucarestia sparirà, sparirà anche mio Figlio, il Signore Gesù. Sappiate che la vostra vera Fede sarà premiata perché io vi proteggerò. Ecco, i tempi predetti sono sulle vostre teste, nuove malattie arriveranno dove la cura sarà difficile da trovare. La terra continuerà a tremare sempre più forte, pentitevi e convertitevi. Io sarò con voi, tutte le volte che mi invocherete. Ora vi lascio con la mia benedizione materna, nel nome del Padre, del Figlio e dello Spirito Santo, Amen.","My beloved children, thank you for having responded to my call in your hearts. Beloved children, all that is happening is causing sadness in your hearts, but children, purification is necessary. My children, pray so much for Germany and France. The Vatican is splitting in two. Children, here is the great test of Faith, I say as Mother to my priest sons, always be obedient to the Church, but, be cautious because when the Consecration of the Eucharist disappears, my Son, the Lord Jesus, will also disappear. Know that your true Faith will be rewarded because I will protect you. Behold, the foretold times are upon your heads, new diseases will come where a cure will be hard to find. The earth will continue to shake more and more, repent and be converted. I will be with you, as often as you call upon me. Now I leave you with my motherly blessing, in the name of the Father, the Son and the Holy Spirit, Amen.","Moje kochane dzieci, dziękuję wam, że odpowiedzieliście na moje wezwanie w waszych sercach. Drogie dzieci, wszystko, co się dzieje, powoduje smutek w waszych sercach, lecz dzieci, konieczne jest oczyszczenie. Dzieci moje, módlcie się tak bardzo za Niemcy i Francję. Watykan dzieli się na dwie części. Dzieci moje, oto wielka próba wiary, mówię jako Matka do moich synów kapłanów, bądźcie zawsze posłuszni Kościołowi, ale bądźcie ostrożni, bo kiedy zniknie konsekracja Eucharystii, zniknie również mój Syn, Pan Jezus. Wiedzcie, że wasza prawdziwa wiara zostanie nagrodzona, bo ja was ochronię. Oto przepowiedziane czasy są nad waszymi głowami, przyjdą nowe choroby, na które trudno będzie znaleźć lekarstwo. Ziemia będzie nadal drżeć coraz mocniej, pokutujcie i nawróćcie się. Będę z tobą tak często, jak będziesz mnie wzywał. Teraz zostawiam was z moim matczynym błogosławieństwem, w imię Ojca i Syna i Ducha Świętego, Amen.",January
