author,date,text
M,21 aprile 2016," (Gisella) Ore 15:30. Mentre ero con mio marito sdraiata sul letto a vedere la TV, sento una voce che mi chiamava. Chiesi a mio marito di abbassare il volume della televisione e nel girarmi verso la statuina posizionata sul comò, vidi la Madonna avvolta da un velo bianco ed un mantello color blu/celeste. In lacrime dissi a mio marito: “la Madonnina! la Madonnina!” e d’istinto ci inginocchiamo entrambi ai piedi del letto.
Lei sorridendo mi disse:
“Figlia mia, sono la Vergine Santa, non aver paura, ho scelto voi perché siete pieni d'amore e speranza e su questo deve essere fondata la vita. Ti invierò tante persone che hanno bisogno di essere convertite, non chiudere le porte ma aprìle affinché tutti possano vedere e imparare ad amare mio figlio Gesù. 
Tornerò presto e anche loro (riferito ai miei familiari) sentiranno la mia presenza con un mio segno. 
Ti benedico nel nome del Padre del Figlio e dello Spirito Santo. Amen.”
Al termine dell’apparizione tutti i miei famigliari in casa hanno avvertito un suono di campanelle."
M,28 aprile 2016,"Figlia mia, il mio cuore soffre per l'ingiustizia, la mancanza di fiducia nei segni che vi manda Dio dal cielo. La fede si dimostra anche accettando con umiltà e fiducia il Signore. Ascoltate ciò che Dio vi dice e non resistete al suo richiamo. Meditate!
Questa madre vuole versare il suo amore per voi per prepararvi il cuore verso, suo Figlio. Accettate la mia benedizione e la mia protezione. Vi benedico nel nome del Padre del Figlio e dello Spirito Santo. Amen"
M,30 aprile 2016,"Figlia mia, non disperarti, ti seguirò io. Aiuta gli altri a pregare, a riavvicinarsi a Dio Creatore. Il mio cuore sanguina perché ormai siamo vicini e la Chiesa è molto confusa e offuscata. Ricorda, che solo con la preghiera avrete l’eternità.
Vi benedico nel nome di Padre del Figlio e dello Spirito Santo. Amen."
M,02 maggio 2016,"Figlia mia i tre giorni di buio stanno per arrivare.
 Sarà una notte molto fredda.
 Non abbiate paura , perché chi crederà a mio Figlio sarà salvato.
Insisto a chiedere di recitare il rosario e chi lo insegnerà ad altri avrà cinta la testa di perle di misericordia e di gloria per tutte le anime che avrà salvato. Vi benedico nel nome del Padre del Figlio dello Spirito Santo. Amen.
"
M,14 maggio 2016,"Figlia mia dì al Vescovo di non smettere di lottare. 
Deve pregare per il mondo, perché satana non  smetterà di prendersi tutte le anime anche a lui vicino.
 Stai tranquilla, la tua famiglia ha la mia benedizione, ma anche voi dovrete lottare per le preghiere che io vi chiedo e soprattutto per le conversioni,  io ti sarò sempre accanto.
 Piango per le decisioni sbagliate che stanno prendendo i governanti e per la Chiesa, che si trova in grandi difficoltà; soprattutto il Papa, pregate per loro affinché le scelte che faranno saranno solo decise dal cuore. Ti benedico nel nome del Padre del Figlio dello Spirito Santo. Amen"
M, 25 maggio 2016,"Cari Figli riconosco i vostri dolori, pregate e sarò vicino a voi.
 Pregate Gesù e sarete vittoriosi. 
Pregate per coloro che non credono. 
Non smettete, ci sono tante persone che hanno bisogno di redimersi e non saranno perse tutte le vostre sofferenze.        
Non smettete di pregare.        
Vi benedico nel nome del Padre del Figlio e dello Spirito Santo. Amen"
M,29 maggio 2016,"Cari figli, Vi ringrazio e sono molto felice perché siete riuniti anche oggi qui.
Siete i miei Apostoli. 
Non fatevi tentare da Satana perché lui è forte, ma con la preghiera voi lo vincerete. Gesù vi dà la sua benedizione, insieme a me, Vostra Madre.
Vi benedico nel nome del Padre del Figlio e dello Spirito Santo"
M,1 giugno 2016,Figlia mia sono felice di essere qui. Occorre che ci sia la conversione perché Dio ha fretta. I vostri nomi sono incisi nel mio cuore Immacolato e ognuno avrà la propria ricompensa per aver favorito i miei piani. Non abbiate paura. Vi benedico nel nome del Padre del Figlio e dello Spirito Santo. Amen
M,11 giugno 2016,"Figli miei grazie per essere qui sempre più numerosi. Io vi toccherò uno ad uno, affinché possiate portare la mia benedizione ai bisognosi e alle vostre famiglie. Amate mio Figlio perché è Lui che mi manda a toccare la terra. Inginocchiatevi e siate umili. Vi benedico nel nome del Padre del Figlio e dello Spirito Santo. Amen"
M,14 giugno 2016,"Figli miei, grazie ancora una volta di essere qui con me. Grazie per avermi cercata. Grazie per avermi accolta qui nel vostro cuore. Amate mio Figlio perché è l'unica verità. Siete sulla giusta strada, farò tante grazie per darvi segno della mia presenza. Grazie miei apostoli. Con il cuore della vostra mamma riceverete la mia benedizione nel nome del Padre del Figlio dello Spirito Santo. Amen"
