word,occurence
 Son ,544
 die ,14
 love ,364
 redeem ,4
 sins ,31
 resurrected ,2
 defeating ,1
 death ,18
 special ,8
 Easter ,9
 today ,62
 signs ,42
 come ,142
 visible ,7
 people ,50
 see ,115
 greatest ,16
 awaited ,1
 sign ,19
 one ,120
 able ,45
 say ,26
 manmade ,1
 day ,44
 silence ,11
 sorrow ,2
 remember ,66
 His ,24
 cross ,33
 became ,1
 Mother ,47
 Pray ,191
 wounds ,4
 washed ,2
 blood ,9
 together ,47
 open ,69
 hearts ,160
 Grace ,12
 priest ,57
 lost ,33
 Now ,334
 leave ,111
 Motherly ,8
 knew ,7
 precious ,7
 eyes ,30
 must ,56
 pray ,370
 lot ,49
 fear ,64
 times ,112
 long ,16
 faithful ,54
 Him ,22
 nothing ,24
 disturb ,1
 conversion ,36
 urgent ,9
 time ,162
 attracted ,3
 world ,161
 soon ,133
 stripped ,1
 everything ,152
 joy ,52
 serenity ,8
 God ,321
 help ,34
 let ,30
 deceived ,5
 words ,30
 evil ,81
 gives ,8
 solutions ,1
 easy ,4
 dangerous ,2
 souls ,60
 viruses ,4
 continue ,60
 spread ,10
 ferocity ,1
 devil ,51
 Jesus ,289
 salvation ,39
 Church ,176
 confusion ,38
 cause ,8
 pillars ,1
 collapse ,7
 Love ,40
 unite ,14
 witnessing ,2
 true ,66
 Apostles ,9
 bless ,307
 prayers ,43
 understand ,46
 prayer ,139
 catastrophic ,2
 events ,14
 mitigated ,11
 averted ,1
 even ,44
 avoided ,3
 preach ,4
 apostles ,21
 brothers ,54
 inner ,2
 transformation ,6
 way ,63
 great ,127
 peace ,116
 despite ,18
 happen ,48
 otherwise ,8
 anxiety ,1
 states ,1
 mind ,4
 Christ ,17
 never ,53
 anything ,12
 war ,41
 getting ,8
 closer ,23
 Italy ,42
 worlds ,3
 weep ,6
 much ,104
 obeyed ,1
 laws ,13
 always ,170
 Immaculate ,25
 Heart ,22
 triumph ,7
 witnesses ,10
 suffer ,27
 Mercy ,8
 Remember ,25
 free ,12
 choose ,12
 good ,30
 revealed ,2
 know ,57
 would ,40
 like ,42
 ask ,168
 going ,11
 taken ,22
 comfortable ,2
 showing ,2
 Sometimes ,1
 apathetic ,1
 yet ,33
 chosen ,24
 ways ,4
 lead ,20
 nowhere ,1
 coming ,50
 sudden ,2
 meantime ,2
 found ,5
 unprepared ,4
 want ,60
 give ,104
 suggestion ,1
 talk ,5
 waver ,2
